# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:57:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145720/survival/survival-202604291457-2-86c3ca.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145720/survival/survival-profile-202604291457-2-18c5c1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.411515
# Diagonal elements of inverse mass matrix:
# 0.0919774, 0.223745, 0.269777, 0.295096, 0.543212, 2.37762, 0.111379
-104.24338,0.9134561,0.41151523,3,15,0,109.87354,-1.9244545,-4.3741363,-3.3606122,-2.9301221,-1.3118262,-2.108501,-0.6964566,0.49834803
-102.07659,1,0.41151523,3,7,0,104.75659,-2.7767579,-2.3452848,-2.6452076,-1.6326563,-1.8341731,-1.7580758,-0.51407762,0.59805197
-103.61782,0.92066054,0.41151523,3,7,0,107.65816,-1.7690343,-3.7876118,-3.748748,-2.4496906,-1.4555575,-3.5036629,-0.54517996,0.57973745
-99.900988,0.99804694,0.41151523,2,3,0,103.76595,-2.0404823,-3.5730398,-3.6433223,-2.2885796,-1.5508615,-2.9089867,-0.51936176,0.59490011
-99.674808,0.9663236,0.41151523,3,7,0,102.85161,-2.6379318,-2.9618127,-3.0330118,-3.0704639,-1.0550785,-1.7509002,-0.45985405,0.63137579
-97.964657,0.96812952,0.41151523,3,7,0,101.24681,-2.6080413,-3.0329841,-3.3298625,-2.2200067,-1.5049419,-2.8538551,-0.37883494,0.68465862
-98.825394,0.98014157,0.41151523,3,7,0,99.381181,-2.5165592,-3.0119118,-3.2988885,-2.4668815,-1.8557202,-4.6186788,-0.38590195,0.67983718
-99.762636,0.92843824,0.41151523,3,7,0,101.77438,-2.7697082,-3.2396173,-3.8542498,-2.8159592,-2.421569,-1.0539208,-0.060187106,0.94158834
-97.943377,0.99296805,0.41151523,3,15,0,101.16712,-2.3282535,-2.9113024,-3.1787756,-2.2358939,-2.230202,-2.4578146,-0.56811977,0.56658976
-97.8433,0.99899739,0.41151523,3,7,0,98.412225,-2.5075015,-3.0888248,-2.7890441,-2.1943498,-2.1284566,-1.7670063,-0.45709297,0.63312147
-99.629824,0.9113621,0.41151523,3,15,0,100.9747,-2.5622747,-3.2038469,-3.4104546,-3.0568556,-2.621305,-1.6122436,-0.093273932,0.91094393
-99.443354,0.96528378,0.41151523,3,15,0,102.37072,-2.3831939,-3.1876172,-3.664562,-1.6098777,-1.6488135,-2.1335592,-0.68953824,0.50180773
-101.589,0.97158151,0.41151523,3,7,0,102.64823,-2.9275936,-3.5320733,-3.00583,-3.6376544,-2.3509735,-2.0210848,-0.066656166,0.93551681
-103.89217,0.80002043,0.41151523,2,3,0,105.82983,-3.1518581,-3.3557234,-3.5559524,-3.949151,-2.4854329,-2.4736855,-0.08888993,0.91494628
-103.52747,0.98496667,0.41151523,3,7,0,106.40638,-3.1643033,-3.5468063,-3.5006677,-2.8002221,-2.7349598,-2.5265402,0.61289087,1.8457595
-103.12756,1,0.41151523,3,7,0,104.82806,-3.257166,-4.1752767,-3.9053136,-2.9253832,-1.7668965,-3.2715506,-0.083022561,0.92033038
-104.9709,0.97712293,0.41151523,4,15,0,106.36741,-2.8563689,-3.0127649,-3.8879822,-2.4908578,-3.0575368,-4.7489396,0.36526851,1.4409009
-101.77539,1,0.41151523,3,7,0,105.82899,-3.0330146,-3.5712484,-3.5913315,-2.6745509,-3.2019734,-1.7462235,-0.28884052,0.74913167
-101.81286,0.96493628,0.41151523,3,7,0,104.94549,-2.7954393,-4.1202144,-2.934966,-2.7193435,-3.3321299,-2.7689772,-0.073564961,0.92907579
-100.01013,0.96381055,0.41151523,3,15,0,104.94898,-2.0739833,-2.2852363,-3.3376472,-1.7750627,-0.92217095,-1.9060251,-0.8870163,0.41188286
-102.12874,0.79035264,0.41151523,3,7,0,106.48939,-2.4142081,-4.2237593,-2.3575242,-2.1660308,-1.9489307,-0.72186699,-0.70496958,0.4941236
-98.601908,0.96182601,0.41151523,3,7,0,104.31259,-2.4951515,-3.3614468,-3.4380355,-1.9107014,-2.2309084,-1.2967763,-0.39049099,0.67672452
-98.764273,0.99194903,0.41151523,3,7,0,99.451211,-2.4819273,-3.0885698,-2.8951799,-2.8343899,-1.2987315,-2.9404559,-0.31860337,0.72716391
-98.983405,0.97172003,0.41151523,3,15,0,100.27558,-2.7066902,-3.7661709,-2.9218186,-2.3570115,-1.8331216,-2.190533,-0.43944467,0.64439418
-101.5196,0.92522364,0.41151523,3,15,0,103.73179,-2.2593465,-3.0186969,-2.6647454,-2.1650266,-3.7766993,-0.5503464,-0.49499979,0.60957104
-99.956898,0.91904712,0.41151523,3,15,0,103.69604,-2.5728217,-2.869086,-3.615186,-2.5655139,-0.79535013,-2.5932545,-0.33773193,0.7133865
-99.584101,0.94959937,0.41151523,3,7,0,101.81656,-2.6070354,-2.8598007,-3.8681452,-2.3881147,-1.9500816,-2.4971635,-0.55655236,0.57318179
-99.727395,0.94546182,0.41151523,2,3,0,101.34338,-2.4513792,-2.6800569,-3.9620809,-2.2666198,-1.8632004,-2.4357229,-0.5791241,0.560389
-99.777532,0.97658748,0.41151523,4,15,0,102.52586,-2.1722019,-3.2295423,-2.107599,-1.833265,-1.732259,-2.2491838,-0.79601527,0.45112299
-97.988648,0.99180772,0.41151523,2,3,0,100.24352,-2.1015041,-3.3055939,-2.8354173,-1.9907727,-1.6086943,-1.9979582,-0.73575077,0.4791456
-98.747447,0.89039541,0.41151523,3,7,0,102.4968,-2.1102267,-3.4186673,-2.8177899,-2.2542103,-1.2400825,-0.46351797,-0.64635204,0.52395366
-98.924708,0.88224037,0.41151523,3,7,0,101.08867,-2.648727,-3.1323507,-3.1325464,-1.8861211,-2.1338034,-3.0043649,-0.26474199,0.76740392
-100.43547,0.93542021,0.41151523,3,15,0,103.96864,-1.8830922,-2.9541858,-3.398689,-2.4810494,-0.66872251,-1.793938,-0.77539973,0.46051966
-98.940224,0.99487384,0.41151523,3,15,0,101.71801,-2.6211121,-3.1988647,-3.1674423,-2.0121657,-2.7822801,-1.3894477,-0.38381817,0.68125529
-98.602185,0.98079362,0.41151523,3,15,0,102.98613,-1.9254844,-2.5935801,-2.7299868,-1.7739903,-1.5259564,-2.091744,-0.95011405,0.38669692
-101.83907,0.80159601,0.41151523,2,7,0,105.1807,-2.4157195,-2.1237633,-3.2318082,-2.1836312,-0.65485986,-1.0222213,-0.70763434,0.49280864
-99.723579,0.94711539,0.41151523,3,7,0,105.79405,-1.978448,-3.0716028,-2.1934224,-1.9862396,-1.7064074,-2.9213908,-0.78589576,0.45571131
-100.08009,0.9125512,0.41151523,3,15,0,104.28468,-2.7573973,-3.4530082,-4.0554166,-2.3888146,-1.5523027,-2.473803,0.074110509,1.0769258
-103.29903,0.89852743,0.41151523,3,7,0,106.66287,-3.2168919,-3.4153655,-2.4941854,-2.8911351,-2.2947271,-1.4251201,-0.37356742,0.68827458
-101.65332,0.9961906,0.41151523,3,15,0,104.54959,-2.1822929,-3.4072465,-4.4204202,-2.1751491,-1.4687458,-2.8076866,-0.69734223,0.49790687
-101.06265,0.99258533,0.41151523,3,7,0,104.33397,-2.3355767,-3.6034153,-4.1634854,-2.0239468,-1.0959421,-2.767738,-0.62192833,0.5369081
-100.84898,0.86885389,0.41151523,3,7,0,107.07363,-2.3077849,-3.6930327,-3.4686066,-3.2382015,-2.0018861,-3.1741809,-0.41647114,0.65936954
-99.695357,0.99132615,0.41151523,3,7,0,102.61976,-2.772069,-2.9503963,-3.4952465,-1.7663342,-1.5591144,-1.0128209,-0.40072844,0.66983194
-99.467167,0.86078438,0.41151523,3,7,0,102.57098,-2.4689249,-3.6238509,-2.8650413,-2.7690796,-2.3060435,-3.6099888,-0.38093156,0.68322465
-100.5413,0.97399016,0.41151523,3,7,0,101.26335,-2.196997,-3.7432529,-3.0530417,-2.5244499,-2.5587802,-3.4259808,-0.23538936,0.79026309
-99.962681,0.88645351,0.41151523,3,7,0,103.86051,-2.7922141,-3.7241343,-3.1415921,-2.1268508,-1.7655042,-3.596982,-0.50302952,0.60469594
-101.96972,0.96654147,0.41151523,3,7,0,103.94697,-2.0390497,-4.2805141,-2.7697663,-2.1542537,-1.7806181,-3.6132925,-0.56846511,0.56639413
-101.56718,0.91213528,0.41151523,3,15,0,107.03276,-2.5517409,-2.724631,-3.476458,-2.5239468,-3.6057109,-1.1963901,-0.54740056,0.57845151
-101.24835,0.98710071,0.41151523,3,15,0,105.18066,-2.7905603,-3.988329,-3.0445583,-3.1136662,-2.165774,-3.3116209,0.20709001,1.2300933
-106.70886,0.59463338,0.41151523,3,7,0,114.58791,-2.3083674,-4.0711695,-4.5315429,-2.2556657,-4.2896022,-1.7892279,-0.17097312,0.84284423
-105.30628,0.97944602,0.41151523,3,15,0,110.64169,-2.4622122,-4.310786,-4.3233982,-3.0078971,-3.236712,-0.53514644,-0.025972765,0.97436163
-101.78344,0.69752358,0.41151523,2,3,0,109.35784,-2.6475046,-3.9841137,-4.4704181,-2.5871399,-2.6080328,-2.4709347,0.0078807982,1.0079119
-99.027263,0.95826463,0.41151523,3,7,0,103.51575,-2.9163075,-3.1780666,-3.1739149,-2.3091198,-1.773166,-1.3141629,-0.10484178,0.90046698
-98.857513,0.97494428,0.41151523,3,15,0,100.93286,-2.4006939,-3.7124813,-3.1953991,-2.2103826,-1.1047585,-2.2067918,-0.5958931,0.55107019
-99.333417,0.98408083,0.41151523,3,7,0,100.46896,-2.1019518,-2.3305047,-2.5970565,-2.089559,-1.9815008,-1.1592606,-0.81954064,0.44063402
-99.587028,0.94380317,0.41151523,3,7,0,101.26494,-2.4453619,-2.5882266,-3.0056327,-2.1308762,-2.0417107,-1.9456394,-0.96444126,0.38119613
-100.14457,0.98279343,0.41151523,3,15,0,103.00474,-2.6624097,-4.1032054,-3.3600246,-2.468183,-1.4693672,-3.2791558,-0.36325912,0.69540621
-101.0445,0.98219482,0.41151523,4,15,0,103.0248,-3.1317386,-3.5665667,-3.2580312,-2.943909,-1.8682104,-3.206455,0.31635553,1.372118
-99.100132,1,0.41151523,3,7,0,101.84715,-2.5329828,-3.6462071,-3.8192811,-2.3156351,-2.1384607,-1.2822481,-0.27653303,0.75840857
-100.66637,0.80055418,0.41151523,3,15,0,104.72028,-2.1487367,-2.9466334,-3.4544383,-2.7814858,-1.0792613,-1.5115774,-0.98483952,0.37349916
-98.483747,0.97785351,0.41151523,3,7,0,102.56883,-2.0487317,-2.8421259,-3.1672214,-2.2082143,-2.2021438,-1.9315962,-0.71365252,0.48985173
-98.354127,0.98430768,0.41151523,3,7,0,99.916309,-2.4752748,-3.1922478,-2.7428351,-1.9509221,-0.93364409,-1.7965096,-0.57820581,0.56090383
-99.122697,0.89388993,0.41151523,3,15,0,101.69575,-2.744288,-2.8519487,-2.8500581,-2.6559783,-1.849596,-1.8731107,-0.2268694,0.79702487
-99.264634,0.81036819,0.41151523,3,7,0,103.2849,-2.4472882,-3.6314316,-3.3164474,-2.2845812,-2.1684727,-0.49960349,-0.55985208,0.57129357
-99.445734,0.89621762,0.41151523,4,15,0,103.06474,-2.0580346,-2.8633612,-3.0921799,-1.9379555,-1.526951,-2.0980432,-0.41208756,0.66226629
-97.978736,0.97665341,0.41151523,3,7,0,100.91033,-2.3238301,-2.9748583,-3.3083686,-2.080199,-1.2996106,-0.90966517,-0.50241802,0.60506583
-99.823611,0.79941663,0.41151523,3,7,0,101.09083,-2.4648757,-2.975269,-2.6539392,-2.2176874,-1.7186704,-3.2772626,-0.19445186,0.82328581
-102.80007,0.9312234,0.41151523,3,7,0,104.70468,-2.4496381,-4.3557556,-3.2067768,-1.8314035,-1.8599636,-4.2752568,-0.67815481,0.50755266
-100.87602,0.99110293,0.41151523,3,7,0,107.24336,-2.2863747,-2.2203615,-2.8984898,-2.6098508,-1.9655479,-0.37873152,-0.7407865,0.47673881
-99.872673,0.98890284,0.41151523,3,7,0,102.9926,-2.1639416,-2.9735453,-3.1934296,-1.4750895,-2.3596976,-2.9200067,-0.82932394,0.43634418
-99.803998,0.9355022,0.41151523,3,7,0,102.4216,-2.1116733,-2.4554241,-3.0956627,-2.6039651,-0.79703582,-1.4315686,-0.8260642,0.43776887
-101.53023,0.85721335,0.41151523,3,7,0,105.27522,-2.5552683,-3.1330528,-2.9577679,-2.4462906,-2.3278968,0.55682418,-0.79963386,0.44949351
-98.320459,0.95539558,0.41151523,2,3,0,102.79485,-2.5763466,-3.3457866,-3.0122762,-2.0206931,-2.3159855,-1.9671627,-0.31495858,0.7298191
-100.23781,0.69083619,0.41151523,3,7,0,104.67734,-2.8811234,-2.9474558,-2.5424207,-2.6072333,-1.8716158,-2.2875395,-0.23863659,0.78770109
-101.18177,0.95306762,0.41151523,3,15,0,104.31958,-1.9118901,-3.5975975,-3.5975015,-2.0397063,-1.2294114,-3.3569513,-0.87226956,0.41800179
-100.39738,0.99920747,0.41151523,3,7,0,102.62526,-2.7267647,-2.5585411,-3.3283872,-2.3579496,-2.1037199,-1.081448,-0.21770257,0.80436465
-99.365436,0.86297042,0.41151523,3,7,0,105.04643,-2.7581442,-3.4176658,-3.2755339,-2.5204554,-1.0057297,-3.5015477,-0.27943067,0.75621415
-100.72447,0.96063921,0.41151523,3,7,0,102.58268,-2.1114511,-3.6969176,-2.6744647,-2.2997688,-2.3739736,-0.14912182,-0.51895127,0.59514437
-99.64898,1,0.41151523,3,7,0,102.14413,-2.8027825,-2.7647681,-3.2841732,-2.5837634,-2.0272678,-3.5268636,-0.21967957,0.80277599
-98.174587,0.93334943,0.41151523,3,7,0,101.91718,-2.2022397,-3.0800684,-3.0357023,-2.075286,-1.9105201,-3.1992269,-0.76278022,0.46636802
-100.74412,0.79015538,0.41151523,3,7,0,103.7866,-2.4781624,-2.9629175,-2.7681365,-2.2818471,-1.1595052,-1.1018447,-1.1412355,0.31942413
-98.81851,0.96674336,0.41151523,2,7,0,102.96679,-1.9661147,-3.2578102,-2.9501993,-2.3612294,-1.6638058,-1.7159325,-0.85433591,0.42556571
-100.05878,0.89580802,0.41151523,3,7,0,103.23639,-2.7679029,-3.2540536,-2.5609224,-1.7740058,-1.9877253,-0.81109357,-0.50096477,0.60594578
-101.05624,0.99562753,0.41151523,3,7,0,102.08407,-1.712529,-2.6275002,-3.2394104,-2.4014444,-1.4637,-2.9034763,-1.0715495,0.34247742
-102.7235,0.97936901,0.41151523,3,7,0,105.28951,-2.6562961,-3.1567007,-2.51309,-1.691331,-3.5092175,-0.34860543,-0.53199362,0.58743268
-106.88821,0.89463926,0.41151523,3,7,0,110.50715,-1.8663601,-3.305672,-2.5605862,-1.9774323,-4.4603996,-0.49749629,-1.3291975,0.26468958
-103.00273,0.95058099,0.41151523,3,15,0,111.03827,-2.3915521,-3.3113579,-2.767459,-1.4346357,-3.4566266,-4.3684933,-0.69087714,0.50113631
-102.57785,0.97949247,0.41151523,3,15,0,106.11201,-2.6147265,-2.9077198,-2.9449533,-2.6774517,-4.2274004,-2.6991794,-0.49073649,0.61217537
-103.95984,0.93515833,0.41151523,3,7,0,106.03212,-2.5384821,-2.6146209,-3.3777564,-2.2178587,-4.1216917,-3.736437,-0.7629666,0.46628111
-105.09495,0.99500568,0.41151523,3,7,0,106.24476,-2.6746281,-2.6671593,-3.4221352,-2.302574,-4.4006912,-4.120504,-0.68656448,0.50330221
-98.83291,0.98381781,0.41151523,3,7,0,107.36312,-2.2555537,-3.1379884,-3.1141862,-1.8213871,-2.2354368,-3.4347446,-0.73569146,0.47917401
-99.975863,0.96864569,0.41151523,4,15,0,101.51738,-2.2578334,-3.021752,-2.8031208,-1.9526484,-3.1919765,-3.2921192,-0.69100939,0.50107004
