# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:58:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/binary/binary-202604291458-3-807e7b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/binary/binary-profile-202604291458-3-2e3568.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.454552
# Diagonal elements of inverse mass matrix:
# 0.275258, 0.370784
-31.018184,1,0.45455218,3,7,0,31.547885,0.045702743,-0.82254443,0.43931243
-31.539573,0.92082928,0.45455218,3,7,0,32.428581,0.30119967,-1.2050787,0.29966841
-31.224728,0.92064799,0.45455218,3,7,0,31.976994,0.20459425,-0.93987163,0.39067798
-32.07545,0.91370296,0.45455218,3,7,0,32.233643,0.15234037,-1.3699448,0.25412099
-31.093325,0.92558219,0.45455218,2,7,0,33.024048,-0.24356035,-0.22649583,0.79732267
-33.005349,0.7445933,0.45455218,2,5,0,33.417479,-0.2057049,0.2007025,1.2222611
-31.507787,0.9976242,0.45455218,2,7,0,32.975775,-0.18537998,-0.13527009,0.87347996
-32.208203,0.99666534,0.45455218,3,7,0,32.281956,-0.7192722,0.48831502,1.6295681
-31.861945,0.83719728,0.45455218,2,3,0,32.897114,-1.0255354,0.11922103,1.1266189
-31.082945,0.99423329,0.45455218,3,7,0,31.952614,-0.21026015,-0.26670345,0.76590017
-32.828257,0.86481106,0.45455218,3,11,0,34.892769,0.23011687,-1.6002688,0.20184225
-31.851213,0.99876673,0.45455218,2,3,0,32.802436,0.44748126,-1.3382459,0.26230537
-31.540163,0.98320818,0.45455218,3,11,0,32.203255,-0.87179059,0.3050703,1.3567204
-31.468863,0.99187714,0.45455218,3,11,0,32.130154,0.29674623,-1.1523932,0.3158799
-31.775242,0.91117124,0.45455218,2,3,0,31.920024,0.41570827,-0.94852664,0.38731125
-31.32461,0.99298919,0.45455218,3,7,0,31.977696,-0.29404698,-0.79262392,0.4526555
-32.938718,0.87645192,0.45455218,2,7,0,33.212656,0.46515363,-0.64467161,0.52483486
-31.347926,0.99998673,0.45455218,4,15,0,32.83057,-0.81868026,0.0080988109,1.0081317
-30.952946,0.98786889,0.45455218,2,7,0,32.116302,-0.48561046,-0.13732688,0.87168524
-32.890891,0.78324615,0.45455218,3,9,0,33.529407,0.69701178,-1.0717162,0.34242036
-32.021524,1,0.45455218,2,3,0,32.735127,0.21076781,-1.3849503,0.25033624
-31.848711,1,0.45455218,2,3,0,32.03395,0.22897443,-1.3371672,0.26258848
-31.324431,0.80993529,0.45455218,3,15,0,34.558405,-0.51990977,0.099862254,1.1050187
-31.487984,0.88682386,0.45455218,2,3,0,32.289083,-0.73378902,0.27278239,1.3136144
-31.070863,0.99999845,0.45455218,4,15,0,31.604623,-0.056983934,-0.86742989,0.42002969
-30.96875,0.93370024,0.45455218,2,3,0,31.568487,-0.12626778,-0.43625536,0.64645262
-31.327964,0.96266457,0.45455218,2,7,0,31.599168,-0.63152827,-0.37160035,0.6896298
