# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/continuous/continuous-202604291458-4-053919.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/continuous/continuous-profile-202604291458-4-03023e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.345746
# Diagonal elements of inverse mass matrix:
# 2.04593, 2.85489, 0.012109
-157.98949,0.91466359,0.3457461,2,7,0,159.11508,52.598303,-2.4839727,5.1118251,-2.4839727
-158.67006,0.98337885,0.3457461,3,7,0,158.87961,51.898681,-1.5339125,4.6365984,-1.5339125
-158.13972,0.97842648,0.3457461,4,15,0,159.06102,52.009699,-2.5143382,5.5833762,-2.5143382
-158.42496,0.9491353,0.3457461,4,15,0,159.71382,52.117536,-3.0198456,4.7448832,-3.0198456
-158.3577,0.78871703,0.3457461,3,7,0,160.09745,52.456885,-2.1665079,4.7581015,-2.1665079
-158.94519,0.98344955,0.3457461,4,15,0,159.31823,51.832278,-1.6347334,6.0177785,-1.6347334
-159.77248,0.95117037,0.3457461,2,3,0,159.88338,52.182787,-1.4231283,6.1904071,-1.4231283
-159.10769,0.95501455,0.3457461,4,15,0,160.69801,53.086371,-3.5191272,5.9388049,-3.5191272
-159.04417,1,0.3457461,4,15,0,159.71691,53.708231,-4.1980371,5.6604736,-4.1980371
-158.73002,0.99758555,0.3457461,3,15,0,159.60914,51.970792,-2.0990384,4.4985945,-2.0990384
-158.83929,0.97828416,0.3457461,4,15,0,159.48658,52.07821,-1.8420047,4.5242121,-1.8420047
-158.36219,1,0.3457461,3,15,0,159.12239,52.30158,-2.9568588,4.677927,-2.9568588
-158.09513,0.96974425,0.3457461,3,11,0,160.45039,52.864979,-3.4335843,4.9845399,-3.4335843
-161.22268,0.79188525,0.3457461,4,15,0,162.18218,51.815503,-0.44539096,6.5375621,-0.44539096
-161.67406,0.99746346,0.3457461,3,15,0,163.26974,47.994119,0.65784441,5.9099384,0.65784441
-159.72811,0.98962319,0.3457461,2,3,0,161.7992,49.762813,1.0723603,5.728661,1.0723603
-159.2183,0.97845693,0.3457461,3,15,0,162.10688,50.61807,-1.4470281,6.057477,-1.4470281
-162.22375,0.81848947,0.3457461,3,15,0,163.66226,50.868782,1.50821,5.7175024,1.50821
-159.78016,1,0.3457461,2,3,0,162.3596,49.96983,-1.5874592,5.4497178,-1.5874592
-158.08797,0.97650029,0.3457461,2,7,0,160.92335,51.155673,-1.6301451,4.9600261,-1.6301451
-159.62542,0.89888046,0.3457461,3,15,0,161.35289,51.729161,-2.2782123,6.3405383,-2.2782123
-159.0301,0.992286,0.3457461,2,3,0,159.89458,51.963481,-2.5439268,6.0729973,-2.5439268
-160.00437,0.84765771,0.3457461,2,3,0,161.35404,52.908566,-2.2668211,6.2205877,-2.2668211
-159.68513,1,0.3457461,3,7,0,160.17703,52.747041,-2.7157995,6.2540221,-2.7157995
-158.16244,0.98418412,0.3457461,3,7,0,160.02512,52.325407,-3.2619068,5.2843239,-3.2619068
-158.85097,0.85679117,0.3457461,3,11,0,160.74143,50.643097,-0.56312095,5.9067696,-0.56312095
-159.256,0.86452323,0.3457461,3,7,0,161.88319,50.162223,-0.93816829,4.8078181,-0.93816829
-161.05363,0.96157343,0.3457461,4,15,0,163.24756,55.475939,-5.2671387,5.4749812,-5.2671387
-163.25471,0.87601477,0.3457461,2,3,0,163.58934,56.252851,-5.2293149,5.4436218,-5.2293149
-164.8425,0.92944128,0.3457461,3,7,0,166.54085,54.526939,-7.666276,6.2541699,-7.666276
-163.39939,0.84637914,0.3457461,2,7,0,168.58689,56.068648,-6.9070539,6.3449319,-6.9070539
-158.7689,0.98374154,0.3457461,3,7,0,165.05727,51.889354,-2.8479727,5.849709,-2.8479727
-158.61291,0.928485,0.3457461,3,11,0,160.1541,51.066343,-1.7317961,5.8273811,-1.7317961
-158.29615,0.99661031,0.3457461,4,15,0,159.6415,52.282971,-3.1898606,5.5027502,-3.1898606
-158.34606,0.99924011,0.3457461,3,15,0,158.72776,51.81943,-1.5544346,5.6563696,-1.5544346
-158.19644,0.97043645,0.3457461,2,7,0,158.93825,51.818781,-1.3224651,5.2859009,-1.3224651
-159.0109,0.96813258,0.3457461,2,7,0,160.56618,49.873212,-0.69647988,5.5666745,-0.69647988
-159.08015,0.95338554,0.3457461,2,3,0,159.77099,49.757793,-0.58872331,5.344624,-0.58872331
-159.23742,0.9754383,0.3457461,2,7,0,160.01902,49.952561,-1.0862993,5.1930188,-1.0862993
-158.48631,1,0.3457461,4,15,0,159.35642,50.737462,-1.421966,5.6537345,-1.421966
-160.26844,0.85951153,0.3457461,4,15,0,161.27409,54.328876,-3.5138636,4.8238189,-3.5138636
-158.90431,0.97138095,0.3457461,4,15,0,162.72671,52.262996,-2.9992232,5.955375,-2.9992232
-159.4924,0.98763937,0.3457461,3,7,0,160.06279,52.463612,-3.687872,6.0415396,-3.687872
-158.27515,0.99560962,0.3457461,4,15,0,159.9377,53.182856,-3.6738697,5.3137665,-3.6738697
-162.3694,0.92540046,0.3457461,2,7,0,163.82475,55.570603,-6.4776774,6.1928436,-6.4776774
-158.37325,0.99321745,0.3457461,3,15,0,163.83019,53.145824,-3.4387463,5.4822991,-3.4387463
-158.41744,0.9402195,0.3457461,3,11,0,159.59834,51.470434,-2.425671,5.6146024,-2.425671
-158.76102,0.92880839,0.3457461,2,7,0,159.46761,51.977028,-1.0296006,5.1934328,-1.0296006
-157.90084,1,0.3457461,2,3,0,158.59248,51.426634,-1.9414911,5.1853838,-1.9414911
-158.14977,0.99774698,0.3457461,4,15,0,158.25416,53.139279,-3.4983219,5.0760284,-3.4983219
-157.91312,0.9933245,0.3457461,2,7,0,158.6696,52.325859,-2.8020271,5.3043947,-2.8020271
-158.22404,0.94263901,0.3457461,2,7,0,158.70521,52.930309,-2.6943101,5.2621274,-2.6943101
-159.5898,0.82588881,0.3457461,3,7,0,161.3652,49.634593,1.0578849,5.5668857,1.0578849
-160.28455,0.93920097,0.3457461,4,15,0,162.25391,50.66482,0.29168587,6.3213045,0.29168587
-160.46994,0.99045247,0.3457461,3,7,0,160.85611,49.620033,-0.89900583,6.3030424,-0.89900583
-160.69008,0.98947125,0.3457461,2,3,0,160.82625,49.654765,-1.1527283,6.3162544,-1.1527283
-159.9568,0.9999945,0.3457461,3,7,0,160.83867,49.758031,-0.58724091,6.2401461,-0.58724091
-162.18787,0.88792435,0.3457461,4,15,0,162.88037,54.038393,-6.3375897,6.1047601,-6.3375897
-160.07999,0.9892298,0.3457461,4,15,0,163.1386,51.139079,0.085614165,4.7680733,0.085614165
-160.07999,0.53164583,0.3457461,1,1,0,162.0602,51.139079,0.085614165,4.7680733,0.085614165
-159.71961,0.99825133,0.3457461,3,7,0,160.49885,50.701849,0.037445493,4.6658833,0.037445493
-158.58944,1,0.3457461,3,7,0,160.40146,50.624158,-1.4460769,5.6353742,-1.4460769
-157.81985,0.91972783,0.3457461,2,7,0,159.64926,51.664077,-1.8518983,5.1936979,-1.8518983
-158.65072,0.98760302,0.3457461,3,15,0,158.67686,50.624631,-0.67045695,4.8127442,-0.67045695
-160.41784,0.96832806,0.3457461,3,15,0,161.01189,54.416702,-5.230706,5.9759593,-5.230706
-161.09797,0.78483273,0.3457461,2,7,0,163.6727,52.708777,-4.9560209,6.0602877,-4.9560209
-160.09242,0.99945269,0.3457461,3,7,0,163.70113,54.310371,-5.6981707,5.4226471,-5.6981707
-159.37485,0.99396121,0.3457461,4,15,0,160.99862,53.632943,-4.7680126,4.7488445,-4.7680126
-159.63081,0.78753144,0.3457461,3,7,0,161.28845,54.518566,-4.2554045,5.3139283,-4.2554045
-159.28845,0.98802819,0.3457461,3,15,0,160.4905,53.170738,-4.1704161,5.8682633,-4.1704161
-158.40519,0.85697264,0.3457461,2,7,0,161.30342,51.910865,-2.9821405,5.5231814,-2.9821405
-158.04094,0.99730915,0.3457461,2,7,0,158.50584,52.026258,-1.682884,5.1861074,-1.682884
-159.52261,0.92963019,0.3457461,2,7,0,160.64535,49.972962,-0.64897786,4.7612981,-0.64897786
-159.1582,1,0.3457461,2,3,0,159.56186,50.243088,-0.29633022,4.7483875,-0.29633022
-159.38307,0.99567421,0.3457461,2,3,0,159.4022,50.075856,-0.19764284,4.7280658,-0.19764284
-158.64437,0.97462742,0.3457461,3,15,0,159.86574,50.308775,0.0027153383,5.2661055,0.0027153383
