# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-202604291458-1-86c6a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-profile-202604291458-1-18c897.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.462869
# Diagonal elements of inverse mass matrix:
# 0.102474, 0.231317, 0.289109, 0.252011, 0.566656, 2.17778, 0.123977
-100.32096,0.93523446,0.46286893,3,7,0,105.30056,-2.4977912,-2.6963912,-3.3885981,-3.0447876,-2.509587,-1.3570585,-0.44964145,0.63785681
-101.53762,0.82403974,0.46286893,3,7,0,104.07841,-2.0360261,-3.3030714,-2.7231527,-1.4910841,-0.44906555,-2.784312,-0.68362725,0.5047827
-100.52531,0.98329123,0.46286893,3,7,0,104.82194,-2.4702511,-2.5163988,-2.3630212,-2.1455692,-1.796238,-0.75915447,-1.0666155,0.34417139
-102.0121,0.9070794,0.46286893,3,7,0,107.25485,-1.6933683,-3.1232421,-3.2166675,-2.3830307,-1.2448091,-4.7129697,-0.90369391,0.4050706
-100.63428,0.9505378,0.46286893,3,7,0,105.23299,-2.9647031,-3.0596845,-2.9940643,-2.4038034,-2.7526638,-0.69616971,-0.40058751,0.66992634
-99.817318,0.96161496,0.46286893,3,7,0,102.16511,-2.3892176,-3.8911387,-3.5264221,-2.6120919,-1.2462585,-3.1801653,-0.2873488,0.75025
-100.19614,0.95665187,0.46286893,3,7,0,103.57682,-3.1237991,-3.2748685,-3.4227593,-2.4283308,-2.159955,-0.8807565,-0.15190132,0.85907305
-105.83259,0.3854752,0.46286893,3,7,0,111.11896,-2.6561064,-3.9156999,-3.6688204,-2.2607275,-2.1390339,-9.4657543,-0.11719768,0.88940936
-101.84516,0.71905098,0.46286893,3,7,0,109.11165,-2.2628671,-3.2224827,-3.9178405,-2.7617545,-2.9247602,-4.603483,-0.33558198,0.71492189
-101.25245,1,0.46286893,3,7,0,103.79159,-2.9068327,-3.2788323,-2.9673211,-2.5301594,-1.0926556,-0.23996841,-0.1061708,0.89927104
-101.31604,0.71083503,0.46286893,3,7,0,104.56089,-2.0314847,-3.2023506,-3.1062495,-2.0334017,-2.4557028,-4.7878481,-0.36531028,0.69398129
-102.46067,0.77472101,0.46286893,3,7,0,106.78964,-2.3269578,-3.250672,-3.8287013,-2.3581037,-3.2747211,-5.4874297,-0.24244693,0.78470539
-99.237415,0.97606292,0.46286893,3,7,0,104.63631,-2.221416,-3.2895811,-2.3428596,-2.6271367,-1.6001224,-1.5933182,-0.68084585,0.50618865
-99.660758,0.99071317,0.46286893,3,7,0,100.95197,-2.3602437,-2.7341945,-3.505099,-1.5974482,-1.3218619,-3.4990315,-0.68105889,0.50608082
-99.874998,0.90853406,0.46286893,3,7,0,102.21529,-2.359809,-2.8930729,-3.1784036,-1.6772796,-0.86705071,-3.4693121,-0.48138919,0.61792438
-102.02256,0.90858046,0.46286893,3,7,0,105.41049,-1.7059258,-2.4081159,-2.0512007,-1.8624442,-2.0916912,-0.27155872,-1.2551142,0.2850433
-101.77069,0.88820778,0.46286893,3,7,0,105.61522,-1.664486,-2.42618,-2.4326497,-1.5833972,-1.9721191,-3.0552907,-1.3533925,0.25836229
-98.659795,0.83832515,0.46286893,3,7,0,104.24337,-2.074503,-3.0005111,-2.3078485,-1.8703376,-1.1675725,-1.8039067,-0.8399827,0.43171799
-99.511983,0.96784024,0.46286893,3,7,0,100.28596,-2.1264756,-2.4334578,-3.0253203,-1.6857062,-2.251226,-1.4170163,-0.96050921,0.38269796
-98.326462,0.98690822,0.46286893,3,7,0,100.45463,-2.2313561,-3.3160522,-2.9320814,-2.3033681,-0.87177405,-1.8987444,-0.60979363,0.54346301
-98.092649,0.93230877,0.46286893,3,7,0,99.916582,-2.2821529,-2.8187694,-2.9138266,-2.037095,-2.2429493,-1.4266458,-0.54388892,0.58048639
-99.392838,0.89753203,0.46286893,3,7,0,101.8747,-2.4667155,-2.8569552,-2.4208979,-2.2308228,-0.95386779,-1.8943412,-0.92878724,0.3950325
-97.761752,0.99999742,0.46286893,3,15,0,101.30059,-2.4539102,-3.4318315,-3.0191076,-2.3044178,-1.3388787,-1.9122046,-0.39498351,0.67369115
-100.68644,0.8968887,0.46286893,3,7,0,101.76975,-2.7645592,-4.0263589,-3.4622698,-2.6084313,-2.9759743,-1.0232235,-0.061658256,0.94020414
-99.952664,0.94947201,0.46286893,3,7,0,102.16927,-2.6411419,-3.3299569,-3.5770484,-2.8466196,-1.607223,-4.8443768,-0.067803207,0.93444435
-99.488687,0.94649904,0.46286893,3,15,0,103.67268,-2.216579,-2.8421984,-3.1546048,-1.5873503,-1.685334,-0.60693851,-1.0561889,0.3477787
-97.939808,1,0.46286893,3,7,0,100.58596,-2.2067805,-3.0077207,-2.7791958,-2.4473953,-1.1790162,-2.3395517,-0.65958265,0.51706709
