# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-202604291458-3-86c6a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-profile-202604291458-3-18c897.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.468793
# Diagonal elements of inverse mass matrix:
# 0.11906, 0.210862, 0.272368, 0.242778, 0.521683, 2.76164, 0.116835
-99.124305,0.96832153,0.468793,3,7,0,101.85494,-2.1020823,-3.1316666,-3.1143346,-2.4498732,-2.6200513,-1.3016522,-0.50317129,0.60461022
-100.28648,0.91873878,0.468793,3,7,0,102.10895,-3.0738566,-3.5345333,-3.2732413,-2.359507,-1.248618,-3.2416552,-0.0515594,0.94974723
-98.562929,1,0.468793,3,7,0,100.67891,-2.5100282,-3.3706759,-3.1059703,-2.6815328,-2.3533568,-3.2001881,-0.23959043,0.78695011
-100.5901,0.89174324,0.468793,3,7,0,103.0457,-2.4729692,-2.9425471,-3.4839252,-1.9415221,-3.4994735,-1.9981479,-0.45847433,0.63224751
-101.10974,0.89826284,0.468793,3,7,0,104.10388,-1.94465,-3.3080615,-2.4068044,-2.0080811,-0.5031593,-3.6274463,-0.79099737,0.45339237
-101.62281,0.91026854,0.468793,3,7,0,104.58734,-2.5706272,-2.3226528,-2.7414645,-2.7344945,-1.4945343,-2.4325199,-0.94907547,0.38709874
-100.50926,0.9223821,0.468793,3,7,0,104.55546,-2.4917628,-3.1998034,-2.852469,-1.3630309,-1.4925305,-0.30421493,-0.61526414,0.54049811
-100.30369,0.99683842,0.468793,3,7,0,104.26749,-2.2318529,-3.59114,-2.9471493,-2.3063636,-0.50287387,-1.764747,-0.49635968,0.60874265
-100.12179,1,0.468793,3,7,0,103.07679,-2.4411308,-3.7962798,-3.020824,-2.0591186,-3.0738346,-1.8117825,-0.3385755,0.71278496
-101.1656,0.9475657,0.468793,3,7,0,102.92313,-2.4184083,-2.3790063,-3.1045029,-2.6040849,-0.86117178,-3.6487531,-0.8989863,0.40698201
-103.97988,0.90588042,0.468793,3,7,0,107.85888,-2.0470679,-3.5562146,-3.4696208,-1.1723542,-1.4662661,-5.1793214,-0.72820317,0.48277568
-103.58983,0.99382318,0.468793,3,7,0,106.98698,-2.1125585,-2.6914734,-2.0920135,-2.74671,-0.97790894,0.93590532,-0.90235859,0.40561186
-101.94111,1,0.468793,3,7,0,106.03906,-2.2005604,-2.194267,-2.84968,-2.8453823,-1.3061602,-3.6942457,-0.98812484,0.37227411
-100.16538,0.98656988,0.468793,3,7,0,103.9766,-2.2595142,-2.4233146,-2.7618049,-2.6561238,-0.83897206,-3.168796,-0.74512584,0.47467456
-98.78662,0.94730011,0.468793,3,7,0,102.99081,-2.5404835,-3.3065184,-3.0405805,-2.5266404,-2.7781936,-2.5747803,-0.40751437,0.66530189
-100.74932,0.95044107,0.468793,3,7,0,101.80213,-2.3012605,-2.660363,-3.0517738,-2.3139842,-3.4979338,-2.3698357,-0.45579079,0.63394645
