# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:59:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/binary/binary-202604291459-1-808171.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/binary/binary-profile-202604291459-1-2e385e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.357648
# Diagonal elements of inverse mass matrix:
# 0.310324, 0.433348
-32.004571,0.98951442,0.35764838,3,15,0,32.495479,-1.0079707,-0.0082947557,0.99173955
-31.216946,0.98954195,0.35764838,3,15,0,32.335536,0.055764217,-0.55080013,0.57648836
-31.039218,0.99593502,0.35764838,3,11,0,31.378597,-0.52406274,-0.046920771,0.95416299
-31.510718,0.99587083,0.35764838,3,11,0,31.873179,0.30246002,-1.1835337,0.30619483
-33.232464,0.979784,0.35764838,3,7,0,33.242541,0.88407365,-1.7622366,0.1716605
-31.987202,1,0.35764838,2,3,0,33.218145,0.4990047,-1.3916488,0.24866498
-32.976955,0.89912912,0.35764838,2,3,0,33.129531,0.72457871,-1.100775,0.33261322
-31.106756,1,0.35764838,2,7,0,33.36585,0.064923595,-0.92643623,0.39596232
-32.160776,0.89037657,0.35764838,3,15,0,32.942151,-0.86268187,0.55485244,1.741684
-32.294049,0.95299539,0.35764838,2,5,0,33.060735,-0.64237425,0.45574298,1.5773449
-34.344121,0.69944117,0.35764838,3,9,0,36.58169,-0.35784399,-1.3800213,0.25157319
-31.629239,0.9584812,0.35764838,2,7,0,35.485483,-0.50950341,-0.65422511,0.51984473
-31.775259,0.99963382,0.35764838,2,7,0,32.014725,-0.45082788,0.18730627,1.2059966
-32.173722,0.91825964,0.35764838,1,1,0,32.246614,-0.41974746,0.25287939,1.287728
-31.598861,1,0.35764838,2,3,0,32.11385,-0.43592165,0.12739314,1.1358635
