# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:59:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/binary/binary-202604291459-2-808171.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/binary/binary-profile-202604291459-2-2e385e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.398583
# Diagonal elements of inverse mass matrix:
# 0.300002, 0.421471
-34.993351,0.7086816,0.39858304,3,11,0,35.398793,1.0466859,-1.2044389,0.2998602
-33.608404,1,0.39858304,3,11,0,35.104573,-0.36986592,0.45227489,1.571884
-33.34135,1,0.39858304,2,7,0,34.098957,-0.56649068,-0.98369273,0.37392773
-31.790708,0.9840311,0.39858304,3,9,0,34.00146,-0.44754914,0.18853011,1.2074734
-34.577489,0.63813843,0.39858304,2,7,0,35.900045,-0.59783885,-1.1566658,0.31453314
-34.856845,0.95672334,0.39858304,1,1,0,35.453472,-0.65171326,-1.1375662,0.32059834
-32.65718,0.97502204,0.39858304,3,7,0,35.224742,0.65641446,-1.0719377,0.3423445
-32.238114,1,0.39858304,2,3,0,32.612477,0.58913154,-1.1168258,0.32731713
-32.693822,0.97559519,0.39858304,3,7,0,33.318335,0.75774911,-1.5692025,0.20821117
-31.325356,0.75456622,0.39858304,3,11,0,34.75819,-0.81176056,0.022015017,1.0222591
-32.399168,0.97014432,0.39858304,4,15,0,32.790461,-1.1165328,0.69530666,2.0043236
-31.48689,0.90205708,0.39858304,3,9,0,33.416788,-0.1165304,-1.0096156,0.364359
-30.900248,0.96535237,0.39858304,2,7,0,32.166786,-0.085938117,-0.58437078,0.55745651
-31.896769,0.74093043,0.39858304,1,3,0,32.509562,-0.37031895,-0.89040293,0.41049032
-31.968712,0.95499052,0.39858304,2,7,0,33.082078,-0.52080561,0.29120305,1.3380362
-31.006925,1,0.39858304,3,11,0,31.852881,-0.050488415,-0.5183185,0.59552108
-31.280077,0.8459688,0.39858304,2,3,0,32.070543,-0.24233695,-0.82585461,0.43786063
-33.481976,0.86629686,0.39858304,2,7,0,34.6402,0.75612777,-1.0099137,0.36425042
-30.993502,0.87304808,0.39858304,2,7,0,36.689125,-0.20090593,-0.32660915,0.72136563
-31.986849,0.90696183,0.39858304,2,7,0,32.253111,-0.27165124,-1.0144206,0.36261248
-33.488703,0.92038464,0.39858304,2,3,0,33.505216,-0.43184125,-1.1603608,0.31337311
-33.493371,1,0.39858304,2,3,0,34.048699,-0.36356957,-1.2329376,0.29143521
-31.201396,0.968758,0.39858304,1,3,0,34.007743,0.091929797,-1.0009634,0.36752519
-31.515656,0.99489637,0.39858304,3,11,0,31.967652,-0.88587219,0.27530493,1.3169322
-33.806191,0.66222128,0.39858304,2,3,0,34.902312,-0.44089457,0.54539206,1.7252847
-31.589576,1,0.39858304,2,3,0,33.602876,-0.67423331,-0.41871316,0.65789288
-31.37067,1,0.39858304,1,1,0,31.598272,-0.63605548,-0.38499865,0.68045155
-33.238053,0.82817221,0.39858304,2,7,0,34.118846,0.27169879,-0.3131921,0.73110945
-32.143918,1,0.39858304,2,7,0,33.415312,-0.55562454,-0.74224636,0.47604335
-31.156014,0.99553055,0.39858304,2,7,0,32.191578,-0.41997776,-0.041021021,0.95980895
-31.419111,0.99814425,0.39858304,3,7,0,31.446508,-0.82619055,-0.053246763,0.94814602
-31.378046,0.98215585,0.39858304,2,7,0,32.037037,-0.69856685,-0.28710821,0.75043052
-31.583809,0.96330346,0.39858304,2,7,0,32.194306,-0.048028269,-0.26921932,0.76397568
-30.989429,0.99845725,0.39858304,3,11,0,32.086823,-0.00090469572,-0.6283328,0.53348048
-32.134767,0.78826965,0.39858304,2,3,0,32.212661,-0.40439553,-0.91391411,0.40095178
-30.898808,0.99071044,0.39858304,1,3,0,32.253781,-0.11274209,-0.68795504,0.50260282
-31.963445,0.84773135,0.39858304,2,7,0,32.538504,-0.61170417,-0.62432504,0.53562283
-31.27494,0.99384063,0.39858304,2,7,0,32.024583,-0.029731634,-0.39952591,0.67063791
-32.438669,0.6105614,0.39858304,2,3,0,34.50256,-0.796941,-0.49964954,0.60674326
-32.269427,0.96993678,0.39858304,2,7,0,33.735046,0.38005925,-0.67821308,0.50752309
-32.344656,0.61865877,0.39858304,1,3,0,35.271354,-0.037463806,-1.3067342,0.27070268
-32.057716,0.8970138,0.39858304,3,7,0,33.681535,0.54823201,-1.1268912,0.32403905
-32.069454,0.84084766,0.39858304,3,11,0,33.742493,-1.1308589,0.2761061,1.3179877
-31.165101,0.97112761,0.39858304,3,7,0,32.484941,-0.34745258,-0.6708055,0.51129656
-31.671078,0.92260272,0.39858304,2,7,0,32.677284,0.37599862,-0.91865826,0.39905411
-30.944392,1,0.39858304,3,11,0,31.715006,-0.47142164,-0.14967784,0.8609853
-31.723156,0.93712551,0.39858304,2,7,0,33.179879,0.34817937,-1.3035652,0.2715619
-31.048541,0.99580712,0.39858304,2,7,0,32.176649,0.065190629,-0.70897459,0.49214859
-31.072413,0.97858832,0.39858304,1,3,0,31.25168,-0.022303331,-0.88374801,0.41323121
-30.972945,0.99905469,0.39858304,3,11,0,31.349679,-0.50347427,-0.11230641,0.89377036
-31.273337,0.93406384,0.39858304,4,15,0,32.08707,-0.29317319,-0.77373119,0.4612887
-30.898445,0.97305476,0.39858304,1,3,0,31.50275,-0.10748932,-0.54054308,0.58243186
-30.873054,0.99969537,0.39858304,4,15,0,31.016043,-0.22732903,-0.39750322,0.67199578
-30.886063,0.99937291,0.39858304,2,7,0,30.972891,-0.43873857,-0.33436923,0.71578944
-30.930579,0.99663089,0.39858304,2,7,0,31.147012,-0.037102603,-0.64720751,0.52350562
-31.877178,0.82871188,0.39858304,2,3,0,32.151272,0.06480094,-0.32866554,0.71988375
-33.020171,0.81468344,0.39858304,2,3,0,33.94053,-0.15208627,-1.350584,0.25908892
-31.368824,1,0.39858304,2,3,0,32.982493,0.23200573,-1.1062058,0.33081176
-31.379691,0.95430811,0.39858304,2,5,0,31.769675,0.19203874,-0.69800361,0.49757767
-30.855915,0.99301526,0.39858304,2,7,0,32.274965,-0.38108481,-0.31077126,0.7328815
-32.444512,0.84190747,0.39858304,2,7,0,33.785038,-0.7432959,0.55703478,1.7454891
-38.077543,0.73731221,0.39858304,3,15,0,39.093968,1.7653531,-2.0776911,0.12521899
-35.104971,0.92967607,0.39858304,2,3,0,39.003145,1.2096874,-2.2994621,0.10031279
-34.368754,0.94734087,0.39858304,2,3,0,35.57168,0.87882691,-2.1689295,0.1142999
-32.965623,0.94273685,0.39858304,3,7,0,35.24864,0.68526322,-1.0214328,0.36007867
-32.14074,0.99735857,0.39858304,3,7,0,33.210254,-0.37654225,-0.94528413,0.38856915
-32.151599,0.99124158,0.39858304,2,3,0,32.562862,0.055775434,-0.25071515,0.77824402
-30.878123,1,0.39858304,2,3,0,32.25941,-0.10882965,-0.63365723,0.53064755
-31.111118,0.98642587,0.39858304,2,7,0,31.195567,-0.0014425972,-0.91770415,0.39943503
-30.857425,0.69491284,0.39858304,2,3,0,34.121446,-0.30120496,-0.34434227,0.70868633
-31.110095,0.99565949,0.39858304,2,7,0,31.209636,-0.68025208,-0.045620115,0.95540484
-31.483485,0.93803538,0.39858304,3,9,0,31.891904,0.26198807,-0.77677544,0.45988655
-31.176184,1,0.39858304,2,7,0,31.584194,-0.34710032,-0.67623474,0.50852813
-31.121854,0.90606483,0.39858304,2,7,0,31.996359,-0.16970263,-0.29320844,0.74586666
-33.296997,0.76560951,0.39858304,2,7,0,33.755289,-0.97856883,-0.43898793,0.64468856
-33.202673,0.99438385,0.39858304,2,7,0,34.187504,0.35571584,-0.43233556,0.64899157
-31.466995,1,0.39858304,2,3,0,33.619557,0.25260406,-1.1705273,0.31020333
-30.956125,0.99831739,0.39858304,2,7,0,31.713521,-0.024876635,-0.76680752,0.46449359
-31.971156,0.85933478,0.39858304,3,11,0,34.805099,-0.97577885,-0.05855182,0.94312937
-32.363975,0.9752226,0.39858304,2,3,0,32.42958,-1.0343331,-0.10266014,0.90243362
-31.733881,0.99654232,0.39858304,2,3,0,32.681123,-0.2155563,-0.041529772,0.95932077
-30.861403,0.99052824,0.39858304,2,7,0,32.795535,-0.14921591,-0.53767357,0.58410556
-31.169961,0.94842784,0.39858304,2,7,0,31.967782,-0.48732487,0.012160578,1.0122348
-31.024909,0.97253477,0.39858304,3,15,0,31.445128,0.021820291,-0.63376348,0.53059117
-31.024909,0.56167428,0.39858304,1,3,0,33.761201,0.021820291,-0.63376348,0.53059117
-31.262195,0.80450994,0.39858304,2,3,0,32.353225,-0.30192928,-0.76041626,0.4674718
