# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:59:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-202604291459-1-053c0f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-profile-202604291459-1-030534.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.352537
# Diagonal elements of inverse mass matrix:
# 2.83289, 3.80869, 0.0111165
-161.05023,0.95562203,0.35253716,2,3,0,161.17972,54.011129,-5.8368233,4.7623179,-5.8368233
-160.73732,0.99661474,0.35253716,3,15,0,162.1787,49.088409,2.0114611,5.7917826,2.0114611
-159.10219,0.99273555,0.35253716,3,7,0,161.76754,50.59588,-1.7315884,5.8498467,-1.7315884
-159.11266,0.98002961,0.35253716,3,15,0,160.06706,51.104299,-0.39828332,4.7633211,-0.39828332
-159.53716,0.92737339,0.35253716,4,15,0,161.0397,52.616518,-2.9526229,6.2297723,-2.9526229
-160.25027,0.97678277,0.35253716,2,3,0,160.61688,51.923146,-2.6049894,6.5490083,-2.6049894
-162.32845,0.97206931,0.35253716,3,15,0,164.13216,55.386366,-5.8624072,6.3705756,-5.8624072
-160.56796,1,0.35253716,2,3,0,162.41958,54.078837,-5.2562756,6.0814175,-5.2562756
-159.80746,0.95935747,0.35253716,4,15,0,162.33838,49.659576,0.037789245,6.2022614,0.037789245
-159.86357,0.98223175,0.35253716,3,7,0,160.78896,48.952267,0.58508194,5.7673535,0.58508194
-158.71966,0.98217052,0.35253716,2,7,0,161.84879,51.068429,-1.3335647,5.9369083,-1.3335647
-160.48801,0.84964111,0.35253716,2,7,0,162.32588,48.665465,1.141254,6.1105799,1.141254
-161.34194,0.93962925,0.35253716,2,3,0,161.38262,49.094766,2.238619,6.1246735,2.238619
-158.35426,0.92230017,0.35253716,3,11,0,161.95873,52.31426,-3.4088505,4.9846083,-3.4088505
-158.25318,0.9498206,0.35253716,2,7,0,158.96891,53.039556,-2.9957632,5.3686314,-2.9957632
-158.47567,0.9958655,0.35253716,3,11,0,158.73085,50.946668,-0.45811604,5.0705361,-0.45811604
-159.34001,0.89716122,0.35253716,3,7,0,160.45247,51.726173,-1.986929,6.24082,-1.986929
-158.97077,0.93377662,0.35253716,1,3,0,160.39731,51.223818,-2.2554961,5.9267496,-2.2554961
-158.6878,0.97485801,0.35253716,4,15,0,160.12821,51.248929,-0.43390234,5.380231,-0.43390234
-158.84459,0.96165064,0.35253716,2,7,0,161.25223,52.181733,-3.6928958,5.3113069,-3.6928958
-158.04599,0.99410949,0.35253716,3,15,0,159.06301,51.20566,-1.2842728,5.4427749,-1.2842728
-158.61399,0.904706,0.35253716,2,3,0,158.80601,50.721361,-1.8374396,5.3772042,-1.8374396
-159.40391,0.88058782,0.35253716,2,7,0,162.14047,51.268099,-3.0117138,5.0977293,-3.0117138
-158.2272,1,0.35253716,2,3,0,160.11345,51.348666,-2.0944038,4.883488,-2.0944038
-160.68206,0.86877146,0.35253716,3,7,0,161.04895,48.775122,0.091782118,6.0856969,0.091782118
-160.54782,0.9660919,0.35253716,4,15,0,162.24007,52.522655,-1.2759679,6.2413477,-1.2759679
-160.77664,0.98799944,0.35253716,4,15,0,161.73694,49.450748,-1.044325,6.2264325,-1.044325
-160.07662,0.92562724,0.35253716,3,15,0,162.82604,52.406006,-2.029695,6.4040007,-2.029695
-158.0499,0.99783628,0.35253716,3,7,0,160.28232,50.914399,-1.1782556,5.2171695,-1.1782556
-158.14596,0.9855275,0.35253716,4,15,0,159.40265,53.128262,-3.4175294,5.0300823,-3.4175294
-158.08263,0.81869881,0.35253716,3,15,0,159.4101,52.191881,-2.2975743,4.7726986,-2.2975743
-159.80032,0.78058459,0.35253716,2,7,0,160.3833,52.550926,-1.630753,4.5435019,-1.630753
-159.13746,0.9982409,0.35253716,3,15,0,159.89902,52.737153,-1.7470469,5.5456963,-1.7470469
-161.24056,0.85975536,0.35253716,3,7,0,161.3906,51.408425,0.66661839,5.5004225,0.66661839
-162.19582,1,0.35253716,3,7,0,163.64946,52.794497,-0.97723794,6.5352478,-0.97723794
-159.60466,1,0.35253716,2,3,0,162.17523,52.302985,-2.3174733,6.2913847,-2.3174733
-158.04481,0.96263399,0.35253716,3,9,0,160.12256,51.990725,-2.7908348,5.3445721,-2.7908348
-159.71179,0.95771057,0.35253716,2,7,0,161.404,53.175415,-3.866805,6.1504819,-3.866805
-158.58332,0.99103766,0.35253716,3,7,0,160.09602,53.635194,-3.6566825,5.2938672,-3.6566825
-158.03589,0.99271637,0.35253716,3,11,0,158.76125,50.953732,-1.3080197,5.2085872,-1.3080197
-158.55322,0.82591524,0.35253716,3,15,0,159.94164,51.941867,-2.5333542,4.5847998,-2.5333542
-158.09805,0.69714309,0.35253716,2,5,0,160.40374,51.921382,-2.8488717,5.0934726,-2.8488717
-158.13879,1,0.35253716,2,3,0,158.25768,52.847578,-2.7249412,4.9563192,-2.7249412
-159.24915,0.84986516,0.35253716,4,15,0,159.72105,51.425157,-0.25250857,5.1471102,-0.25250857
-158.71776,0.99262199,0.35253716,4,15,0,159.97092,53.492516,-3.2633429,5.4632136,-3.2633429
-159.66367,0.96841334,0.35253716,3,7,0,160.43878,53.123966,-3.753278,4.3391071,-3.753278
-157.97217,0.98479736,0.35253716,3,7,0,159.88348,51.259334,-1.7359062,5.3398416,-1.7359062
-157.85371,0.99890508,0.35253716,3,11,0,158.21181,52.127738,-2.1416206,5.2175513,-2.1416206
