# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:59:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-202604291459-2-053c0f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-profile-202604291459-2-030534.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.351888
# Diagonal elements of inverse mass matrix:
# 2.26793, 3.0597, 0.0102039
-158.34522,0.99021855,0.35188807,3,15,0,161.70593,52.554477,-3.5179016,5.4299981,-3.5179016
-160.84758,0.96100451,0.35188807,3,15,0,162.16912,50.674031,-0.3191047,6.7439463,-0.3191047
-161.06681,0.98994462,0.35188807,1,1,0,161.07277,50.720776,-0.23805469,6.8015511,-0.23805469
-158.81141,0.99636927,0.35188807,3,15,0,161.15488,51.421749,-0.88904302,4.7180976,-0.88904302
-158.04429,1,0.35188807,3,7,0,158.86686,52.530439,-2.7638645,5.4365529,-2.7638645
-159.15226,0.97482902,0.35188807,3,7,0,160.1555,53.595071,-4.2317565,4.6002665,-4.2317565
-159.47598,0.92740294,0.35188807,2,3,0,159.63999,53.82428,-3.7978365,4.5406416,-3.7978365
-158.64278,0.9771165,0.35188807,3,15,0,164.01806,52.387049,-2.6904323,4.5192101,-2.6904323
-159.17666,0.95445144,0.35188807,4,15,0,161.19977,53.147661,-3.6178577,4.4483997,-3.6178577
-159.61503,0.73520145,0.35188807,2,3,0,160.98286,53.207696,-2.5055078,4.5638418,-2.5055078
-161.26338,0.9506084,0.35188807,3,7,0,162.51177,54.193989,-3.5991972,4.3351601,-3.5991972
-159.07291,0.42163059,0.35188807,3,7,0,166.32785,53.130347,-2.5153677,4.709568,-2.5153677
-158.08873,1,0.35188807,4,15,0,159.77231,51.527047,-1.5055232,5.5281486,-1.5055232
-158.57184,0.99753974,0.35188807,3,7,0,158.71116,50.305735,-0.16009978,5.1734087,-0.16009978
-158.44548,0.9998326,0.35188807,3,15,0,158.69467,50.304349,-0.43500879,5.3737737,-0.43500879
-158.99478,0.92692623,0.35188807,3,15,0,159.58479,50.472406,-0.9247181,5.9793096,-0.9247181
-162.22733,0.96361075,0.35188807,3,7,0,163.29248,52.279967,-2.6545327,3.8853872,-2.6545327
-162.13399,0.91165605,0.35188807,2,3,0,162.6726,52.62738,-2.3053676,3.9419123,-2.3053676
-160.86009,0.89472689,0.35188807,2,3,0,163.05271,51.771705,-2.9732136,4.2141004,-2.9732136
-159.58729,1,0.35188807,2,3,0,160.74235,52.452575,-1.9123627,4.4142243,-1.9123627
-158.25619,1,0.35188807,2,3,0,159.6555,52.112406,-2.8752682,4.7709918,-2.8752682
-160.2273,0.95936261,0.35188807,3,7,0,160.50734,54.030801,-4.133135,6.1344229,-4.133135
-157.89663,0.95905431,0.35188807,3,7,0,161.71303,51.67297,-1.9950618,5.3809874,-1.9950618
-158.39767,0.98857424,0.35188807,4,15,0,158.77017,52.483668,-3.0661378,5.6755182,-3.0661378
-158.04902,0.99228473,0.35188807,3,15,0,158.73601,52.687266,-3.2384673,4.9314959,-3.2384673
-158.54782,0.97647802,0.35188807,3,7,0,158.72563,53.634472,-3.836452,5.2879223,-3.836452
-158.23515,1,0.35188807,3,7,0,158.73783,53.045114,-3.748368,5.0383397,-3.748368
-158.35472,0.90061014,0.35188807,2,3,0,159.13624,53.212276,-3.319071,4.8307977,-3.319071
-158.9505,0.99137822,0.35188807,4,15,0,159.55759,49.732871,0.062196257,5.5414081,0.062196257
-158.95089,0.99760071,0.35188807,4,15,0,159.51887,54.0932,-4.4965993,5.10039,-4.4965993
-159.4924,0.77647803,0.35188807,1,3,0,160.6028,53.118611,-4.785492,5.0862604,-4.785492
-160.1382,0.97906952,0.35188807,2,3,0,160.41018,54.704156,-4.1332018,5.0972144,-4.1332018
-160.42804,0.85973606,0.35188807,2,3,0,162.17649,53.747664,-5.5749782,4.9578634,-5.5749782
-159.55853,0.94476332,0.35188807,4,15,0,161.98395,52.286947,-1.137031,4.803319,-1.137031
-162.34682,0.88764044,0.35188807,4,15,0,164.87903,53.86039,-4.5903803,4.0041404,-4.5903803
-157.94669,0.93475196,0.35188807,3,7,0,162.96037,51.572313,-2.158881,5.3459283,-2.158881
-158.12015,0.91828527,0.35188807,1,3,0,158.57758,52.130052,-1.7367028,5.3005257,-1.7367028
-158.52095,0.96681367,0.35188807,2,7,0,162.0279,51.601978,-1.4327233,5.8035208,-1.4327233
-158.57208,0.99695304,0.35188807,3,11,0,158.87958,52.368788,-2.2071032,4.6000021,-2.2071032
-158.29502,1,0.35188807,3,15,0,159.03454,52.866632,-3.7479841,5.0006152,-3.7479841
-158.27616,0.95512613,0.35188807,3,7,0,158.73148,52.748869,-3.5137603,4.8479278,-3.5137603
-161.51295,0.95780872,0.35188807,4,15,0,163.26938,54.982368,-6.2593219,6.0065546,-6.2593219
-159.46827,0.98934606,0.35188807,3,11,0,163.31837,50.67777,-0.5642099,4.5294806,-0.5642099
-158.45604,0.98924524,0.35188807,3,15,0,161.54781,53.222396,-3.7246032,4.7793902,-3.7246032
-158.62521,0.95495153,0.35188807,3,7,0,159.29923,53.288206,-4.2867019,5.0478611,-4.2867019
-161.36666,0.83018345,0.35188807,3,7,0,162.47226,54.331943,-5.1282603,6.4249716,-5.1282603
-161.73355,0.89627272,0.35188807,4,15,0,164.63439,52.966688,-5.0104438,6.4803789,-5.0104438
-160.68155,0.9762209,0.35188807,3,7,0,162.61276,54.157401,-3.4229969,6.0890392,-3.4229969
-160.14118,0.99874805,0.35188807,3,7,0,161.9053,52.764237,-4.226564,6.1713942,-4.226564
-160.49335,0.99333659,0.35188807,3,7,0,160.86297,52.956713,-4.2083934,6.3680758,-4.2083934
-159.44538,0.99043624,0.35188807,3,7,0,162.15665,53.674564,-3.4062296,4.5586611,-3.4062296
-158.52141,1,0.35188807,2,3,0,159.46418,52.329104,-3.4589045,4.863152,-3.4589045
-159.4092,1,0.35188807,3,7,0,159.83345,53.611786,-4.0609025,5.9136798,-4.0609025
-158.66067,0.99535039,0.35188807,3,11,0,160.14106,50.947637,-0.9441456,4.7022309,-0.9441456
-158.81458,0.98731036,0.35188807,2,3,0,158.95648,50.592647,-0.88812817,4.7312691,-0.88812817
-159.728,0.99360306,0.35188807,4,15,0,160.39476,53.064462,-3.9247535,6.1489314,-3.9247535
-161.6182,0.81339751,0.35188807,2,3,0,162.19529,52.217944,-4.8788821,5.9034574,-4.8788821
-160.70374,0.98563337,0.35188807,4,15,0,162.56132,52.1071,-0.40231015,5.972888,-0.40231015
-159.98965,0.9787467,0.35188807,4,15,0,161.8301,53.886415,-3.6414763,6.0392694,-3.6414763
-160.62774,0.98875251,0.35188807,3,15,0,161.81729,51.623236,-2.899589,6.574762,-2.899589
-159.48704,0.95922253,0.35188807,2,7,0,162.45619,52.202068,-1.0441954,5.769371,-1.0441954
-157.85828,0.96162831,0.35188807,2,7,0,162.5056,51.741239,-2.142615,5.311346,-2.142615
-158.86435,0.95528981,0.35188807,3,7,0,159.24344,51.445576,-1.2677494,5.9864294,-1.2677494
