# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:59:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/survival/survival-202604291459-4-86c996.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/survival/survival-profile-202604291459-4-18cb8d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.487221
# Diagonal elements of inverse mass matrix:
# 0.107194, 0.218611, 0.311127, 0.222515, 0.564519, 2.26169, 0.111967
-102.96848,0.9822519,0.48722097,3,7,0,104.52059,-2.6505955,-2.7589376,-2.5135263,-3.1472273,-1.5766314,-5.3278527,-0.26178809,0.76967411
-102.76457,0.77924414,0.48722097,3,7,0,108.54927,-2.4018465,-3.7971964,-4.613375,-2.2510659,-1.6096705,-4.3437905,-0.33137808,0.71793368
-99.528852,0.9190734,0.48722097,3,7,0,105.10296,-2.617653,-3.8798325,-2.7103802,-2.1553823,-1.6607125,-2.3908765,-0.25122593,0.77784662
-98.516128,0.98789301,0.48722097,3,7,0,102.26502,-2.1572533,-3.1526888,-3.4931604,-2.2414354,-1.5434764,-1.7177308,-0.77309338,0.46158301
-98.817144,0.81399657,0.48722097,3,7,0,104.83013,-1.9704096,-2.5548046,-2.6555335,-1.5753138,-1.3719268,-1.2008165,-0.98111845,0.37489157
-98.522846,0.85913325,0.48722097,3,7,0,102.43229,-2.260962,-3.1839884,-2.8509984,-2.7320838,-1.3150365,-3.0682003,-0.54386965,0.58049758
-99.972025,0.87793212,0.48722097,3,7,0,101.47557,-2.289664,-3.6678978,-3.1532369,-2.4500622,-3.0810462,-2.4098139,-0.42554513,0.65341349
-99.019867,0.93632107,0.48722097,3,7,0,101.48232,-2.6005914,-3.1473003,-2.89158,-2.1667116,-0.71872429,-1.7990385,-0.64822845,0.52297143
-98.000731,1,0.48722097,3,7,0,99.690443,-2.6291732,-3.1670584,-3.0474215,-1.9352168,-1.7207396,-1.6063318,-0.42153993,0.65603579
-99.13769,0.87504294,0.48722097,3,7,0,101.75909,-1.9561417,-2.7491404,-2.7789241,-2.3334586,-2.1111924,-3.0006883,-0.75382725,0.47056214
-100.72548,0.86464985,0.48722097,3,7,0,103.30721,-1.8998541,-3.0429178,-2.2748111,-2.3787524,-2.1784763,-3.1022971,-1.005203,0.36597034
-100.11114,0.89263018,0.48722097,4,15,0,106.34601,-2.4499391,-2.6306035,-2.8504699,-2.1648674,-0.63718949,-4.1502294,-0.77981724,0.4584898
-100.72861,0.96244168,0.48722097,3,7,0,103.31695,-2.191697,-3.0902998,-2.7542971,-1.6663114,-2.527614,-5.0762021,-0.84175148,0.43095505
-101.13766,0.8840785,0.48722097,3,7,0,103.78642,-2.5413406,-3.2909297,-3.4881507,-2.7311765,-0.77423445,-0.11278231,-0.6557638,0.51904546
-101.2652,0.96618113,0.48722097,3,7,0,104.3128,-2.2607016,-3.96029,-2.9165215,-2.500544,-2.3480956,-3.0192443,-0.10310847,0.90202912
-99.389439,1,0.48722097,3,7,0,102.02919,-2.3815812,-3.7714814,-3.1794804,-2.429248,-2.3416367,-2.1903063,-0.12234127,0.88484635
-102.42934,0.89875169,0.48722097,3,7,0,104.47174,-2.5200109,-3.9875139,-3.845928,-2.7136182,-0.82193833,-1.6158075,-0.59173242,0.55336779
-104.28693,0.98358971,0.48722097,3,7,0,107.50458,-2.1906255,-4.8148987,-3.6678858,-1.944629,-1.5285599,-1.1778442,-0.39586322,0.67309875
-104.92886,0.95375452,0.48722097,3,7,0,106.80383,-2.4778471,-1.7752949,-2.6205766,-2.3091005,-1.6002897,-3.4883775,-0.73868074,0.47774377
-103.3029,1,0.48722097,3,7,0,107.02972,-1.8482139,-4.1201892,-2.9646034,-1.579075,-0.89172443,-0.70880011,-1.0960384,0.33419242
-101.84818,0.99295414,0.48722097,3,7,0,103.9404,-2.7517856,-2.287947,-2.9926849,-2.6293752,-2.1707176,-2.5544349,-0.37895456,0.68457672
-102.57949,0.8254193,0.48722097,3,7,0,106.83032,-2.6182547,-4.7191619,-3.4607277,-2.5247867,-1.5025819,-1.37999,0.032782206,1.0333255
-106.66307,0.75483807,0.48722097,3,7,0,109.12375,-2.5900448,-4.86152,-4.4043354,-1.8524182,-2.0442651,-0.94848375,-0.052451789,0.94890007
-100.92198,0.98115863,0.48722097,3,7,0,108.50865,-2.4518774,-2.9455038,-2.5720374,-3.4190282,-1.403675,-2.6343868,-0.50371657,0.60428063
-99.619771,0.93700992,0.48722097,3,7,0,103.46499,-2.9032155,-3.2623136,-2.9905351,-2.9807056,-2.1098638,-1.2701417,-0.23591256,0.78984973
-98.830385,0.97057211,0.48722097,3,7,0,101.43566,-2.2550946,-3.2845124,-3.4532803,-2.0007266,-1.4509062,-3.4982811,-0.72040776,0.48655382
-101.4864,0.97125738,0.48722097,3,7,0,102.8941,-1.8273916,-2.3286552,-2.5163424,-1.8951413,-1.2362557,0.76457096,-1.0512501,0.34950055
-103.16109,0.85774025,0.48722097,3,7,0,105.22545,-2.8087799,-3.345931,-3.7076031,-2.106748,-1.6038954,-6.0100561,0.15883305,1.1721422
-99.411332,0.94075338,0.48722097,3,7,0,105.79343,-2.180989,-3.396457,-3.3921767,-2.6524408,-1.9748612,-1.6642669,-0.72305076,0.48526955
-99.826347,0.96475246,0.48722097,3,7,0,103.77691,-2.8622173,-3.2016402,-2.7356957,-2.2240202,-2.330315,-2.1442675,-0.56987421,0.56559658
-101.46975,0.89913418,0.48722097,3,15,0,103.98838,-2.5649872,-2.948992,-4.1919713,-2.6662992,-1.6002271,-2.4745945,0.044522266,1.0455283
-102.75091,0.96225882,0.48722097,3,7,0,106.80267,-3.2018304,-4.2305894,-2.8825694,-2.7491935,-2.3620121,-1.8468146,-0.14734298,0.86299793
-99.594014,1,0.48722097,3,7,0,103.99266,-2.3991175,-3.4849384,-3.29798,-2.7237684,-2.3209704,-0.84969104,-0.10587424,0.89953776
-103.6164,0.39226674,0.48722097,3,7,0,108.08921,-2.954736,-4.09816,-2.5099156,-2.3817709,-0.80780547,-3.4611767,-0.34958101,0.70498341
-100.26643,0.85433579,0.48722097,3,7,0,108.77105,-2.2828068,-3.4199415,-3.6275527,-1.7861303,-2.517326,-0.91109203,-0.71783362,0.48780789
-101.76494,0.85539701,0.48722097,3,7,0,109.31521,-2.6133024,-3.4757098,-3.1925283,-2.9852275,-3.5634585,-4.4159262,-0.12596458,0.88164608
-102.48306,0.9765368,0.48722097,3,7,0,105.2429,-3.1889546,-4.4922791,-3.8726059,-2.4329179,-2.2348416,-2.3397416,0.28089502,1.3243146
-100.74732,0.9327305,0.48722097,3,7,0,104.93454,-2.7134742,-4.0827252,-3.1305351,-3.1169299,-2.0074016,-2.7642433,-0.26170264,0.76973988
-102.35128,0.90541377,0.48722097,3,7,0,104.26795,-2.4860681,-3.8873298,-3.9028859,-1.9125338,-1.5683874,-1.9265047,0.04798754,1.0491576
-101.85595,0.70484215,0.48722097,3,7,0,108.0797,-2.2855146,-2.5485011,-3.3041086,-3.3354395,-1.8146238,-2.272124,-0.29780971,0.7424426
-99.887122,1,0.48722097,3,7,0,103.95294,-2.9937389,-3.544131,-3.3475604,-2.223719,-2.3743794,-3.3461618,-0.22344348,0.7997601
-100.18534,0.92949241,0.48722097,2,7,0,103.20774,-2.5292127,-3.4562032,-4.2577067,-2.0927701,-2.1826047,-1.6088964,-0.30424435,0.73768059
-104.38874,0.79752818,0.48722097,2,3,0,104.686,-2.3212996,-3.7157786,-4.8887022,-2.1669478,-2.5307871,-1.9452589,-0.59723537,0.550331
-98.801021,0.92256194,0.48722097,3,15,0,108.2059,-2.2019363,-2.6410824,-2.5482948,-1.7993861,-2.1058619,-1.8325397,-0.95667901,0.38416658
-99.347509,0.91209162,0.48722097,2,7,0,105.02291,-2.3332077,-3.0724237,-2.5909198,-1.80952,-2.7964967,-2.0764249,-0.59961256,0.54902431
-101.04947,0.88299044,0.48722097,2,3,0,101.85126,-2.4818835,-3.1239211,-2.2116339,-1.9125674,-2.9956873,-1.8785551,-0.63445721,0.53022321
-102.26983,0.99203632,0.48722097,3,7,0,104.29118,-2.6575604,-2.9749038,-3.9995999,-3.1591342,-0.8474724,-1.5043995,-0.13260831,0.87580807
-102.17673,0.98104701,0.48722097,3,7,0,104.09507,-2.2894699,-3.475376,-2.320295,-1.5044684,-2.7840336,-2.0601803,-0.5169006,0.59636607
-106.65892,0.72487095,0.48722097,3,7,0,109.53592,-2.2461443,-2.6536366,-3.7803416,-4.1019963,-0.59382357,-1.9411459,-0.69028939,0.50143094
-102.33209,0.86604881,0.48722097,3,7,0,112.67241,-3.0654986,-3.7412179,-3.3948082,-2.3948063,-3.2447078,-3.8680144,0.30630475,1.3583962
-99.269617,0.99972526,0.48722097,3,7,0,102.95738,-2.6006011,-3.2119583,-3.3110442,-3.1768952,-1.9109222,-3.0283958,-0.27246847,0.76149744
-100.44328,0.96469524,0.48722097,3,7,0,102.01179,-2.6446893,-3.487172,-3.1482316,-2.3145532,-3.3437812,-0.73122125,-0.17202455,0.8419585
-99.21204,0.98809393,0.48722097,3,7,0,102.16962,-2.8122336,-3.1791685,-3.6829026,-2.1047165,-2.236922,-1.9523835,-0.14186075,0.86774208
-100.10401,0.87984542,0.48722097,3,15,0,103.71847,-2.0619735,-2.945471,-2.3593655,-2.2415015,-0.96239466,-4.6675396,-0.90378943,0.40503191
-99.443294,0.90846237,0.48722097,3,7,0,104.1128,-2.5165123,-4.098116,-3.2888282,-2.5764203,-1.8239097,-1.7859844,-0.16257383,0.84995333
-99.240342,0.78488714,0.48722097,3,15,0,105.56684,-2.3376679,-2.3663187,-3.0111677,-1.6787888,-1.2470297,-2.0391503,-0.86699899,0.42021072
-98.636262,0.98299258,0.48722097,3,7,0,100.07293,-2.2376017,-2.6512805,-2.9496606,-1.5851492,-1.3690425,-1.9301074,-0.96069029,0.38262867
-100.063,0.91923635,0.48722097,3,7,0,102.13494,-2.4270079,-3.2929836,-2.8427423,-2.0409265,-0.53412525,-0.2039691,-0.67362804,0.50985544
-98.580465,0.99564522,0.48722097,3,7,0,101.29124,-2.2069315,-2.771754,-3.5088116,-2.1170486,-2.1357337,-1.9676681,-0.57267815,0.5640129
-99.496753,0.98557233,0.48722097,3,7,0,100.5374,-2.5280823,-3.001744,-3.9449734,-2.2747193,-1.3919032,-0.59673803,-0.491637,0.61162434
-99.643249,0.97392498,0.48722097,3,7,0,101.7536,-2.5168597,-3.4778548,-3.6848349,-1.7579384,-1.8795582,-2.8720527,-0.30760554,0.73520527
-101.18718,0.82401625,0.48722097,3,7,0,103.78675,-2.5089537,-4.3118614,-2.9585497,-2.1824157,-1.7373066,-2.0674555,-0.64794778,0.52311823
-99.987341,1,0.48722097,3,7,0,102.57023,-2.4867326,-2.3752798,-3.4974963,-2.4604959,-1.8716726,-1.7496152,-0.59375228,0.55225119
