# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/binary/binary-202604291459-4-808373.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/binary/binary-profile-202604291459-4-2e3a60.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.359775
# Diagonal elements of inverse mass matrix:
# 0.310125, 0.44806
-34.548324,0.81695395,0.35977514,2,3,0,34.629486,-0.54608544,0.73630933,2.0882144
-34.887602,0.96005219,0.35977514,2,7,0,35.770104,-0.94025678,-0.78431414,0.45643264
-32.246741,0.97251099,0.35977514,2,7,0,35.436707,0.11433786,-0.30305413,0.73855912
-30.84046,0.95795869,0.35977514,2,7,0,33.222688,-0.31740097,-0.44778424,0.63904255
-30.92477,0.92711657,0.35977514,2,3,0,31.433247,-0.45809571,-0.36524248,0.69402834
-31.014635,0.98905966,0.35977514,3,15,0,31.336547,-0.083747427,-0.46210745,0.62995465
-31.12949,0.95937764,0.35977514,2,3,0,31.446566,-0.014190541,-0.49153997,0.6116837
-31.063848,0.92300523,0.35977514,1,3,0,31.782162,-0.18554364,-0.77704992,0.45976034
-31.006976,0.97259901,0.35977514,2,3,0,31.426662,0.047796668,-0.76436348,0.46563022
-31.967207,0.86722743,0.35977514,2,7,0,32.189182,0.26017127,-0.57743623,0.56133566
-31.289334,1,0.35977514,2,7,0,31.895643,-0.10855,-0.9426976,0.3895755
-33.159486,0.98473361,0.35977514,2,7,0,33.780349,0.8943449,-1.5471867,0.21284592
-31.894802,0.93531467,0.35977514,3,9,0,34.050403,-0.90527425,0.48335432,1.6215043
-31.305586,0.97195986,0.35977514,4,15,0,32.580863,-0.13231928,-0.26057091,0.77061151
-31.775556,0.94445768,0.35977514,2,3,0,32.081964,-0.66977221,-0.49001938,0.61261452
-31.923242,0.99912863,0.35977514,3,11,0,32.558201,0.27894142,-0.62049107,0.53768033
-31.992635,0.98281853,0.35977514,1,1,0,32.169846,0.28150176,-0.60278885,0.54728322
-32.133797,0.99044008,0.35977514,2,3,0,32.216547,-0.23770221,-1.0832958,0.33847812
-30.962579,1,0.35977514,2,3,0,32.129145,-0.15175337,-0.73677743,0.47865393
-32.025334,0.85334397,0.35977514,2,7,0,32.614443,-0.45780764,-0.82734993,0.43720638
-34.186875,0.96569589,0.35977514,2,7,0,35.502903,0.9920881,-1.2963473,0.27352909
-33.723923,0.70859984,0.35977514,3,11,0,39.508011,-1.6232664,0.71097811,2.0359817
-33.742837,1,0.35977514,3,7,0,34.104994,-1.3421185,1.1134581,3.0448697
-31.968391,0.98731664,0.35977514,3,7,0,34.235433,-0.54532204,0.31005233,1.3634965
-31.933939,1,0.35977514,2,3,0,32.09215,-0.96201748,-0.068907466,0.93341305
-30.987746,0.78617977,0.35977514,2,7,0,34.828049,-0.42530202,-0.47648435,0.62096264
-31.249883,0.9791187,0.35977514,2,3,0,31.331885,-0.32711425,-0.07982157,0.92328107
-30.919472,0.99694111,0.35977514,2,3,0,31.290252,-0.44854855,-0.18492359,0.83116779
-31.359361,0.93028575,0.35977514,3,11,0,31.9353,-0.047537682,-0.3435016,0.70928235
-30.905112,0.98417372,0.35977514,2,3,0,31.641994,-0.30949811,-0.28173898,0.75447059
-31.049256,0.94034186,0.35977514,2,7,0,31.417587,-0.51357682,-0.39207277,0.67565495
-31.71725,0.98608526,0.35977514,2,7,0,31.979585,-0.75203275,0.36887632,1.4461087
-31.638517,0.9868848,0.35977514,3,7,0,32.110352,-0.97398522,0.25499734,1.2904582
-31.920732,0.97849322,0.35977514,2,3,0,31.938022,-0.8874554,0.48872988,1.6302443
-32.578521,0.96764611,0.35977514,3,7,0,34.492751,-1.3192612,0.62855712,1.8749034
-33.057297,0.93392071,0.35977514,2,3,0,33.313155,-1.4287891,0.49399277,1.6388467
-31.383415,0.99109873,0.35977514,3,15,0,33.890015,-0.0067322582,-1.0499075,0.34997012
-31.135025,0.990507,0.35977514,3,11,0,32.463192,-0.48545075,-0.006404365,0.9936161
-31.500889,0.94911172,0.35977514,2,7,0,33.034148,-0.22903497,-0.91695044,0.3997362
-31.839461,0.98307804,0.35977514,3,11,0,32.084882,-0.33375014,0.10029333,1.1054951
-31.107192,0.97674079,0.35977514,2,3,0,32.113078,-0.54622629,0.0088260927,1.0088652
-30.99092,0.98500018,0.35977514,3,7,0,31.264323,-0.34284418,-0.58160902,0.5589982
-36.328329,0.79489922,0.35977514,3,11,0,36.693715,-1.478993,1.6055417,4.9805571
-36.69401,0.98057302,0.35977514,2,3,0,37.236215,-2.0780173,0.75505931,2.1277377
-34.79096,0.95450977,0.35977514,3,7,0,38.038203,-1.3260244,-0.21228765,0.80873203
-33.341792,1,0.35977514,1,1,0,34.703517,-1.1571324,-0.17278669,0.84131706
-33.221691,0.99947544,0.35977514,3,11,0,34.56092,0.40695193,-1.7802139,0.16860207
-31.787184,1,0.35977514,3,7,0,33.309895,0.307883,-0.71752092,0.48796045
-31.773174,0.80123378,0.35977514,2,3,0,33.800536,0.010330046,-1.1940574,0.30298942
-31.796499,0.99768689,0.35977514,3,7,0,32.108341,0.44483132,-1.0151392,0.36235199
-31.728023,0.80133879,0.35977514,3,11,0,34.121812,-0.92306343,-0.044059612,0.95689691
-31.88081,0.89259208,0.35977514,2,7,0,33.276594,-1.0268488,0.46173449,1.5868239
-30.864905,0.99279241,0.35977514,2,7,0,32.519568,-0.39566292,-0.3767395,0.68609478
