# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/continuous/continuous-202604291459-3-053e11.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/continuous/continuous-profile-202604291459-3-030736.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.341569
# Diagonal elements of inverse mass matrix:
# 1.94231, 2.6061, 0.0120537
-158.41738,0.91220559,0.3415689,3,15,0,161.57157,51.334476,-0.79168393,5.0000078,-0.79168393
-158.72847,0.87359356,0.3415689,2,3,0,160.11407,51.334979,-2.5810938,4.9134387,-2.5810938
-160.18524,0.98398399,0.3415689,4,15,0,161.9634,54.572962,-5.5153216,5.6849233,-5.5153216
-157.84451,0.98976242,0.3415689,2,7,0,162.37337,52.249183,-2.3777019,5.0279712,-2.3777019
-159.21915,0.75153572,0.3415689,1,3,0,159.79207,52.92308,-1.8557295,5.0988407,-1.8557295
-158.48739,0.98679952,0.3415689,2,7,0,160.51845,52.815467,-3.281102,5.6731637,-3.281102
-159.74306,0.9688329,0.3415689,3,15,0,160.48059,50.366847,0.42288303,4.7998961,0.42288303
-162.12065,0.93503687,0.3415689,4,15,0,163.95034,49.209527,0.24885096,7.0795639,0.24885096
-158.32723,0.99746917,0.3415689,4,15,0,164.51806,52.914297,-2.9527658,5.5266435,-2.9527658
-159.78685,0.88280676,0.3415689,4,15,0,162.56028,51.69835,-2.9964842,4.4767959,-2.9964842
-160.46713,0.9655951,0.3415689,2,3,0,160.77325,51.562453,-2.9400399,4.367847,-2.9400399
-159.60883,1,0.3415689,1,1,0,160.3419,51.701882,-2.6041439,4.3755171,-2.6041439
-158.21847,1,0.3415689,4,15,0,159.90147,51.536873,-1.0673595,5.3352458,-1.0673595
-160.38777,0.84951106,0.3415689,3,7,0,160.87564,54.043188,-2.950174,5.7366068,-2.950174
-160.3893,0.93665963,0.3415689,3,9,0,162.46351,50.277276,-1.5720926,4.5987992,-1.5720926
-160.44214,0.99844874,0.3415689,3,7,0,161.1711,51.116888,-0.34062782,4.4067179,-0.34062782
-158.96164,1,0.3415689,3,15,0,161.55215,53.853112,-4.404213,5.4883797,-4.404213
-158.70831,0.99987252,0.3415689,3,7,0,159.29466,53.635336,-4.2495514,4.8717631,-4.2495514
-160.00097,0.84959602,0.3415689,3,7,0,160.93269,54.016311,-5.4650443,4.9076558,-5.4650443
-159.58846,0.9132972,0.3415689,2,3,0,161.05037,54.496438,-4.5400554,4.8771703,-4.5400554
-158.17704,0.9974387,0.3415689,3,7,0,160.26698,52.185191,-1.8471288,4.8972521,-1.8471288
-158.87341,0.9818634,0.3415689,3,15,0,159.32617,50.09197,-0.90974619,5.1179753,-0.90974619
-159.36191,1,0.3415689,3,7,0,159.78649,49.955703,0.79130421,5.52244,0.79130421
-158.33262,0.99539119,0.3415689,4,15,0,159.81944,50.903725,-1.4609687,4.8944239,-1.4609687
-158.28474,0.89176908,0.3415689,3,15,0,159.77816,50.56655,-0.70224388,5.4028591,-0.70224388
-158.30824,0.95881354,0.3415689,3,11,0,160.60044,51.688283,-2.6905864,5.4892592,-2.6905864
-159.5535,0.93143946,0.3415689,2,7,0,161.07625,52.979838,-1.9463649,4.7854666,-1.9463649
-158.88352,0.98434534,0.3415689,3,7,0,159.91003,52.084896,-3.5632833,4.9911094,-3.5632833
-158.23702,1,0.3415689,2,7,0,159.58926,52.499166,-3.4915036,5.2304205,-3.4915036
-158.00108,0.99530284,0.3415689,4,15,0,158.60652,52.098815,-2.2486932,5.4803509,-2.2486932
-157.91658,0.97051063,0.3415689,3,7,0,158.35406,52.347846,-2.6802425,5.3420278,-2.6802425
-159.45536,0.95425177,0.3415689,3,7,0,160.09884,49.958615,-0.16382442,4.748685,-0.16382442
-158.77018,0.98577225,0.3415689,2,3,0,159.7378,50.520495,-0.099962449,4.9903639,-0.099962449
-158.7362,1,0.3415689,3,7,0,158.87769,50.271349,-0.19445218,4.9846199,-0.19445218
-157.91707,0.99598107,0.3415689,3,7,0,158.8773,51.686909,-2.3164749,5.2697596,-2.3164749
-158.8931,0.98601171,0.3415689,2,7,0,160.16189,53.844729,-4.0355815,4.8007615,-4.0355815
-159.82134,0.73950971,0.3415689,2,3,0,160.63378,53.233222,-4.8199452,4.7610339,-4.8199452
-159.94043,0.993797,0.3415689,3,11,0,161.34133,52.961205,-2.1622808,6.1184681,-2.1622808
-158.83172,0.99916953,0.3415689,3,7,0,160.10378,51.961647,-3.4821496,5.2237802,-3.4821496
-158.36434,0.98466387,0.3415689,3,7,0,159.11114,52.907967,-2.6392685,5.4426015,-2.6392685
-158.64618,0.99747963,0.3415689,3,15,0,158.92925,50.664566,-0.12981871,5.1408344,-0.12981871
-159.11076,0.96464749,0.3415689,4,15,0,161.51288,52.697763,-3.6523815,5.919493,-3.6523815
-161.35892,0.79969402,0.3415689,2,7,0,162.57282,51.991384,-4.6265084,5.3433808,-4.6265084
-160.3019,1,0.3415689,2,7,0,162.81998,52.236664,-4.3871413,5.7344573,-4.3871413
-158.82236,0.98902509,0.3415689,4,15,0,161.11691,51.338862,-0.44683113,5.0890047,-0.44683113
-157.98224,0.86212865,0.3415689,3,7,0,160.08886,51.242316,-1.7615964,5.0789047,-1.7615964
-158.29669,0.91125064,0.3415689,1,3,0,158.89502,51.636111,-1.1108308,5.0189522,-1.1108308
-160.09628,0.77334347,0.3415689,3,11,0,161.79047,49.401365,-0.88365555,5.5839403,-0.88365555
-158.75688,1,0.3415689,2,3,0,160.11327,51.130527,-0.36237077,5.5462107,-0.36237077
-158.83984,0.99580908,0.3415689,2,7,0,159.87156,50.970731,-0.54915733,5.8515126,-0.54915733
-160.99352,0.82805433,0.3415689,2,3,0,161.39694,52.133778,-0.25978266,5.9260638,-0.25978266
-159.044,1,0.3415689,2,3,0,160.84637,50.897195,-2.3960337,5.4696607,-2.3960337
-160.57391,0.99624698,0.3415689,3,15,0,161.76949,55.011407,-4.8042456,5.6860708,-4.8042456
-161.66519,0.87469847,0.3415689,4,15,0,163.13343,49.457096,1.5890896,6.684808,1.5890896
-160.85034,1,0.3415689,3,7,0,161.83469,49.019304,1.579145,6.3311921,1.579145
-160.21152,0.96047861,0.3415689,3,7,0,162.259,49.300485,-0.43874972,6.0808919,-0.43874972
-161.17422,0.94236622,0.3415689,4,15,0,163.121,51.777794,-1.1406505,6.7988101,-1.1406505
-158.47662,0.97385847,0.3415689,2,7,0,162.9291,51.937177,-1.501519,5.6624453,-1.501519
-157.91641,0.9797532,0.3415689,2,7,0,159.39105,51.525877,-1.6874598,5.3783218,-1.6874598
-158.84941,0.97015386,0.3415689,3,15,0,159.23893,50.218779,-0.37580249,5.8102923,-0.37580249
-158.18567,0.94314597,0.3415689,3,7,0,159.51261,50.681464,-0.82874102,5.2298545,-0.82874102
-158.49138,0.98341161,0.3415689,3,15,0,159.26735,50.983863,-1.214804,4.7399953,-1.214804
-158.7919,0.99715321,0.3415689,4,15,0,159.29006,50.467833,-0.72153509,5.8638541,-0.72153509
-159.15708,0.98123777,0.3415689,3,7,0,159.75616,49.714925,0.42609935,5.1475761,0.42609935
-158.38751,0.98765524,0.3415689,4,15,0,159.42456,51.049525,-1.7844253,5.6401339,-1.7844253
-161.41525,0.9568031,0.3415689,3,7,0,161.82826,50.5388,0.10552024,6.8802448,0.10552024
-159.01136,1,0.3415689,3,7,0,161.49446,49.752067,-0.3993019,5.2551512,-0.3993019
-159.17415,0.97832436,0.3415689,3,7,0,160.91465,50.450146,-0.36841502,4.6842291,-0.36841502
-157.89197,0.99206268,0.3415689,2,7,0,160.06466,51.417377,-1.5876328,5.0681871,-1.5876328
-160.55323,0.70056576,0.3415689,2,3,0,160.84028,52.047066,-0.50113808,4.7946459,-0.50113808
-160.01895,0.99103387,0.3415689,3,7,0,162.06109,50.685501,-1.1559527,6.4828115,-1.1559527
-160.28206,0.97575415,0.3415689,3,15,0,162.63944,51.096485,-2.30034,6.4684549,-2.30034
-158.6544,0.99036002,0.3415689,2,7,0,161.41231,50.802788,-0.14746416,5.2994065,-0.14746416
-158.18311,0.98719138,0.3415689,4,15,0,159.66934,51.342726,-0.93518192,5.1928044,-0.93518192
-157.82338,0.98015149,0.3415689,2,7,0,158.62394,51.847766,-2.2827999,5.2154259,-2.2827999
-158.76454,0.98228871,0.3415689,4,15,0,159.10858,51.369607,-1.5756093,5.9814343,-1.5756093
-158.6488,0.96225915,0.3415689,4,23,0,159.43747,52.093549,-3.4723379,5.0967125,-3.4723379
-158.35082,0.99174046,0.3415689,3,7,0,158.89817,52.843399,-2.6253272,4.8031771,-2.6253272
-158.9815,0.97818357,0.3415689,3,7,0,159.33263,52.894876,-4.2375114,5.5279628,-4.2375114
-159.88457,0.66976177,0.3415689,3,7,0,163.39416,53.750334,-3.4503586,6.0300466,-3.4503586
-158.06072,0.96235929,0.3415689,3,11,0,160.9311,51.107385,-1.1399237,5.4028561,-1.1399237
-157.97035,0.9954338,0.3415689,3,15,0,158.27369,51.638139,-1.5699829,5.387965,-1.5699829
-158.29759,0.95977525,0.3415689,2,7,0,158.69871,51.881029,-1.2741598,5.2242283,-1.2741598
-158.94205,0.99435969,0.3415689,3,7,0,159.14147,51.284464,-2.2425946,4.636672,-2.2425946
-158.34299,0.46756107,0.3415689,2,3,0,165.78507,50.883144,-0.57267108,5.0752939,-0.57267108
-158.29231,0.99731164,0.3415689,3,15,0,159.46719,51.449595,-1.7331072,4.7163174,-1.7331072
-159.17314,0.98595646,0.3415689,4,15,0,159.34744,50.385172,-0.33871196,6.0397467,-0.33871196
-160.3879,0.94252252,0.3415689,3,15,0,164.44521,49.041148,1.0967469,4.9519618,1.0967469
-160.54567,0.97739457,0.3415689,3,7,0,162.85807,48.442315,1.7162126,5.6432863,1.7162126
-160.8854,0.97098536,0.3415689,2,3,0,161.00276,48.129323,1.4447313,5.701971,1.4447313
-162.79288,0.96208939,0.3415689,3,7,0,163.51645,48.288013,3.2339173,6.4618608,3.2339173
-163.40369,0.97564086,0.3415689,3,7,0,164.48406,46.836231,2.5828493,5.5180645,2.5828493
-162.74309,0.81316727,0.3415689,2,7,0,167.88302,47.916507,1.0401893,6.8853459,1.0401893
-161.6487,1,0.3415689,3,7,0,162.98491,49.380037,1.4995159,6.7318618,1.4995159
-159.85112,0.99753584,0.3415689,3,7,0,162.03669,48.95014,0.73510215,5.7691631,0.73510215
-159.34509,0.96513234,0.3415689,2,3,0,160.27804,49.344327,0.59174466,5.5088452,0.59174466
-158.04262,0.96573293,0.3415689,4,15,0,161.87502,51.305513,-1.7430652,5.4741791,-1.7430652
-159.33012,0.98087561,0.3415689,4,15,0,159.51335,52.429317,-2.5904513,6.1732027,-2.5904513
-158.90155,0.95347765,0.3415689,3,7,0,160.53396,52.809557,-3.7630007,5.7796569,-3.7630007
-158.12246,0.97227709,0.3415689,3,7,0,159.36499,52.919046,-3.5196055,5.2206628,-3.5196055
-157.94892,0.99365425,0.3415689,3,11,0,159.14533,51.545192,-1.5279274,5.3673046,-1.5279274
-158.81308,0.79806386,0.3415689,1,3,0,159.73796,50.875479,-2.2275289,5.3007836,-2.2275289
-157.94738,0.99999115,0.3415689,2,3,0,158.86843,51.373114,-1.913728,5.3061737,-1.913728
-158.4861,0.96741498,0.3415689,4,15,0,159.21871,51.677009,-1.3044194,4.7441911,-1.3044194
-158.71071,0.95181221,0.3415689,3,7,0,159.44928,51.302402,-0.49562742,5.4782324,-0.49562742
-158.49772,0.99978033,0.3415689,3,11,0,158.97414,51.042041,-1.9443086,4.8852267,-1.9443086
-158.0463,0.99890868,0.3415689,3,11,0,158.75127,52.376824,-2.0822548,5.1794398,-2.0822548
-158.37862,0.98093095,0.3415689,3,7,0,158.50737,52.813385,-2.4285558,5.41698,-2.4285558
-163.15672,0.97107958,0.3415689,4,15,0,165.04322,47.654904,3.6292421,5.5458987,3.6292421
-162.2352,0.99860811,0.3415689,3,7,0,164.00976,47.864031,1.2729753,6.6341842,1.2729753
-161.11585,0.935923,0.3415689,3,7,0,164.15248,48.903562,1.283209,6.5533549,1.283209
-158.10546,0.99223276,0.3415689,4,15,0,162.05886,52.392386,-2.7447699,4.7629744,-2.7447699
