# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 08:16:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/binary/binary-202604291616-4-7b9034.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/binary/binary-profile-202604291616-4-5085d6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.550692
# Diagonal elements of inverse mass matrix:
# 0.0161327, 0.0437305
-286.51877,0.81513286,0.55069164,1,1,0,286.67729,0.1629603,-0.74813903,0.47324643
-284.44406,1,0.55069164,2,7,0,286.11554,0.0094314355,-1.0146423,0.36253209
-284.51756,0.9968584,0.55069164,3,7,0,284.72023,0.20287367,-1.1165401,0.32741064
-284.2662,0.98950928,0.55069164,2,7,0,285.20339,0.021896919,-0.9652111,0.38090278
-284.36476,0.96377783,0.55069164,2,5,0,284.78785,0.089189293,-1.1276175,0.32380379
-284.4598,0.98809262,0.55069164,3,7,0,284.73992,0.095836663,-0.88385836,0.41318561
-284.69055,0.99417584,0.55069164,3,7,0,284.91391,0.21455111,-1.0685428,0.34350872
-284.20874,0.99360994,0.55069164,2,7,0,285.25699,0.058992378,-0.92232318,0.39759429
-284.3095,0.96661387,0.55069164,2,7,0,284.98375,0.13916782,-0.98204932,0.37454275
-285.87933,0.62870328,0.55069164,2,7,0,287.98957,0.030984783,-1.2564489,0.28466311
-285.05897,0.98408753,0.55069164,3,7,0,286.51743,-0.065349238,-0.95790298,0.38369666
-285.18764,0.97955626,0.55069164,3,7,0,285.66201,0.091554877,-0.77882215,0.45894626
-285.21881,0.99437482,0.55069164,3,7,0,285.79001,0.17621521,-1.3160017,0.26820552
-287.56257,0.79743798,0.55069164,2,7,0,287.69846,0.36133117,-1.0405289,0.35326779
-289.75377,0.63846494,0.55069164,1,1,0,289.91327,0.41359532,-0.98848724,0.37213922
