# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 08:16:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/continuous/continuous-202604291616-3-245f8a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/continuous/continuous-profile-202604291616-3-31d97b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.558854
# Diagonal elements of inverse mass matrix:
# 0.291174, 0.657685, 0.00127373
-1559.3279,0.81392241,0.55885422,2,3,0,1560.565,63.185534,-9.3121763,8.6639399,-9.3121763
-1558.6817,0.97613151,0.55885422,2,3,0,1559.7405,63.352801,-9.1492874,8.6130539,-9.1492874
-1558.1311,0.98604457,0.55885422,2,3,0,1558.8806,63.52852,-8.5488789,8.3307095,-8.5488789
-1559.4173,0.90572804,0.55885422,2,3,0,1559.7331,63.445307,-9.6750129,8.6255678,-9.6750129
-1559.0518,0.93017956,0.55885422,2,3,0,1560.546,63.152294,-9.2666092,8.5991777,-9.2666092
-1560.9335,0.89781987,0.55885422,2,7,0,1561.6799,63.27803,-9.920663,8.7479195,-9.920663
-1559.6236,0.94761806,0.55885422,3,7,0,1562.8057,62.48226,-8.1706294,7.991655,-8.1706294
-1561.633,0.83854487,0.55885422,2,3,0,1561.9842,62.317393,-8.7524146,7.977879,-8.7524146
-1559.5911,1,0.55885422,1,1,0,1561.2782,62.628986,-8.620071,7.9848468,-8.620071
-1560.6685,0.99282303,0.55885422,3,7,0,1561.4548,64.013849,-10.449814,8.5855254,-10.449814
-1559.6899,1,0.55885422,2,3,0,1561.3926,64.278798,-9.6977224,8.1954338,-9.6977224
-1559.2672,0.8605974,0.55885422,2,3,0,1560.5487,63.792452,-10.067583,8.2263503,-10.067583
-1562.074,0.83067011,0.55885422,2,3,0,1562.152,64.754083,-9.7376952,8.3618596,-9.7376952
-1558.024,0.96398542,0.55885422,3,7,0,1562.7639,63.174352,-8.7809801,8.4463905,-8.7809801
