# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-1-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-1-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.538677
# Diagonal elements of inverse mass matrix:
# 0.00506514, 0.0136358, 0.0423148, 0.0863825, 0.113318, 0.737147, 0.0126255
-850.53625,0.9127995,0.53867711,3,7,0,851.51265,-1.6095446,-1.3070129,-1.375842,-1.2305651,-1.2734939,-2.2312632,-0.93699067,0.39180513
-850.31572,0.77000793,0.53867711,3,7,0,854.09744,-1.6252099,-1.3750993,-1.7495615,-1.2570774,-0.27742902,-2.4418618,-0.80394062,0.44756181
-852.9831,0.77954171,0.53867711,3,7,0,856.98748,-1.6867038,-1.4143013,-1.8689051,-1.3250659,-1.7940259,-0.53416839,-0.8599296,0.42319187
-850.64454,1,0.53867711,3,7,0,855.17542,-1.7344969,-1.5616209,-1.6892978,-1.2116239,-1.3386486,-1.0667505,-0.67761992,0.50782422
-849.87355,0.99511066,0.53867711,3,7,0,851.98316,-1.6626002,-1.41223,-1.9076529,-1.7441179,-1.1508357,-2.0814597,-0.72833276,0.48271312
-849.95462,0.90794094,0.53867711,3,7,0,853.91141,-1.6473842,-1.3646002,-1.8578103,-0.88435866,-0.46304671,-1.871915,-0.83625247,0.43333141
-853.18067,0.88010865,0.53867711,3,7,0,854.68958,-1.5251135,-1.2717412,-1.8485107,-1.2930122,-1.3366344,-2.1424936,-1.014017,0.36275884
-851.60204,0.96919218,0.53867711,3,7,0,858.20856,-1.7861657,-1.5134955,-1.537139,-1.628132,-0.43768931,-1.6086888,-0.82219452,0.43946618
-854.5702,0.98717646,0.53867711,3,7,0,856.8436,-1.4564556,-1.164214,-1.6748327,-0.7862895,-0.93760412,-1.3181619,-1.1316193,0.32251061
-854.42904,0.97954963,0.53867711,3,7,0,858.00578,-1.84644,-1.4761703,-1.8774743,-1.8253232,-0.38942825,-2.1940752,-0.64650648,0.52387275
-851.09628,1,0.53867711,3,7,0,856.39954,-1.7682659,-1.3321759,-1.9431433,-1.4961777,-0.70890106,-2.8125834,-0.78868799,0.45444063
-852.62467,0.70944448,0.53867711,3,7,0,857.92232,-1.6991385,-1.3189553,-1.991534,-1.4218736,-1.2426189,-3.393752,-0.67899188,0.50712798
-858.71146,0.86812014,0.53867711,3,7,0,861.56527,-1.7712107,-1.7232271,-1.66287,-2.2875304,-1.7698996,-1.9803232,-0.60816713,0.54434767
-857.15078,1,0.53867711,3,7,0,862.75336,-1.5766324,-1.0476443,-1.6815554,-0.69542763,0.011280549,-1.05262,-1.2422532,0.28873292
-852.11379,0.99785314,0.53867711,3,7,0,859.78281,-1.6370871,-1.1897189,-1.4287738,-1.0779887,-0.057419762,-2.1546663,-1.0456389,0.35146719
