# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-2-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-2-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.526245
# Diagonal elements of inverse mass matrix:
# 0.00559221, 0.0144852, 0.0490224, 0.0933009, 0.120684, 0.627918, 0.0133709
-849.55685,0.76954957,0.5262449,3,7,0,853.63884,-1.6672277,-1.5108607,-1.5428886,-1.4167326,-0.89875912,-0.83434786,-0.91953284,0.39870526
-851.38205,0.9570642,0.5262449,3,7,0,853.10865,-1.6041661,-1.1016306,-1.5059235,-0.91319154,-0.63253718,-1.2468826,-0.95482255,0.38488043
-851.54385,0.99798909,0.5262449,3,7,0,853.4836,-1.6627377,-1.5861799,-1.854105,-1.5975886,-0.93825814,-1.4683496,-0.57747148,0.56131587
-853.18067,0.91962608,0.5262449,3,7,0,856.35204,-1.8177566,-1.4576646,-1.652181,-1.9035907,-0.85808233,-2.2626951,-0.82743495,0.43716921
-856.21621,0.97604364,0.5262449,3,7,0,857.77148,-1.4663563,-1.2984791,-1.8949057,-1.0467434,-0.7558461,-2.4636651,-1.1704287,0.3102339
-851.97751,0.94879476,0.5262449,3,7,0,860.67836,-1.6557378,-1.252112,-1.2638113,-0.78982587,-0.9278504,-2.2091153,-0.92272831,0.39743324
-852.38762,0.86951254,0.5262449,3,7,0,855.83104,-1.6115869,-1.4627034,-1.9757255,-1.7692199,-0.49795348,-0.74539799,-0.9552948,0.38469872
-850.82127,0.98074461,0.5262449,3,7,0,855.496,-1.7252189,-1.358345,-1.5108898,-0.96922123,-1.1544706,-2.4701305,-0.78878165,0.45439807
