# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 08:18:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-202604291618-1-8b0074.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-profile-202604291618-1-39150d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.626011
# Diagonal elements of inverse mass matrix:
# 0.0148927, 0.0407447
-284.19794,0.94090418,0.62601142,2,7,0,285.46028,0.11469036,-1.0954832,0.334378
-284.82737,0.892546,0.62601142,2,3,0,285.13883,0.028657719,-1.1311473,0.32266284
-284.89924,0.98695571,0.62601142,2,5,0,285.78522,-0.037871428,-1.0060889,0.36564626
-284.20073,0.99884668,0.62601142,2,7,0,285.02036,0.047631925,-1.0110462,0.36383815
-284.35644,0.93350774,0.62601142,2,7,0,284.75955,0.13386286,-0.95831139,0.38353999
-285.29948,0.7262895,0.62601142,2,7,0,286.70115,0.052537218,-1.225425,0.29363289
-285.13553,1,0.62601142,2,3,0,285.48205,0.081372075,-1.2400258,0.28937674
-284.76589,1,0.62601142,1,1,0,285.10422,0.10318354,-1.2128359,0.29735281
-284.77259,0.99558352,0.62601142,3,7,0,285.05954,0.23425629,-1.1668471,0.31134703
-286.3453,0.82271614,0.62601142,2,3,0,287.45528,0.31163134,-1.4262852,0.24019955
-284.24672,0.99770977,0.62601142,2,7,0,286.45667,0.060938933,-0.90802707,0.40331916
-284.23993,0.98430132,0.62601142,2,3,0,284.39538,0.07092826,-0.91520432,0.4004348
-284.98786,0.96293634,0.62601142,2,3,0,285.18148,-0.056819943,-0.76411154,0.46574755
-284.14857,0.99890091,0.62601142,2,3,0,285.00464,0.056339497,-0.97410501,0.37753009
-284.17721,0.98942187,0.62601142,2,7,0,284.32563,0.071029777,-1.0463451,0.35121906
-284.13146,0.99315967,0.62601142,2,7,0,284.25557,0.11276343,-1.0263206,0.35832296
-284.18394,0.96219971,0.62601142,3,7,0,285.48534,0.13627575,-1.0474049,0.35084704
-284.16074,1,0.62601142,2,3,0,284.18022,0.12845402,-1.0499697,0.34994834
-284.19653,0.99836318,0.62601142,2,3,0,284.19811,0.14061695,-1.0537744,0.34861942
-289.26117,0.74617913,0.62601142,2,7,0,290.68994,0.38606318,-1.6735093,0.18758761
-284.47753,0.84707972,0.62601142,2,3,0,290.78127,0.19501428,-1.1449251,0.31824774
-285.81339,0.77138685,0.62601142,3,7,0,286.30351,0.28614063,-1.0481815,0.35057471
-286.1261,0.98266587,0.62601142,2,3,0,286.38005,0.30605449,-1.0592833,0.3467042
-284.40907,1,0.62601142,2,3,0,285.8812,0.14865177,-1.1704482,0.31022785
-284.15357,0.99286607,0.62601142,3,7,0,284.49781,0.10746709,-0.98949797,0.37176328
-285.75005,0.75233038,0.62601142,2,3,0,287.21701,-0.13500069,-0.73915995,0.47751488
-286.32732,0.92233778,0.62601142,1,1,0,286.33319,-0.17531031,-0.74211414,0.47610629
-284.94101,0.70323413,0.62601142,3,7,0,288.96893,-0.0062220711,-0.74932534,0.47268535
-284.57667,0.75298902,0.62601142,2,5,0,286.74584,0.087066302,-1.1675749,0.31112053
-284.54239,0.90784364,0.62601142,2,3,0,285.61732,0.13951515,-0.92630902,0.39601269
-284.63627,0.95953995,0.62601142,3,7,0,285.41365,0.11666909,-0.8776594,0.41575489
-284.74563,0.97660596,0.62601142,1,1,0,284.85361,0.11191715,-0.85533302,0.42514159
-284.41477,0.9429097,0.62601142,1,3,0,285.42094,-0.0079045414,-0.92352171,0.39711804
-284.12934,0.98268492,0.62601142,2,7,0,285.34662,0.088618887,-1.0398501,0.35350766
-284.13999,0.99654476,0.62601142,2,5,0,284.27566,0.060642062,-0.98635611,0.37293314
-284.41617,0.96176022,0.62601142,2,7,0,284.64578,0.11455146,-1.1600876,0.31345871
-284.42097,0.90756188,0.62601142,2,7,0,287.70122,0.0099508982,-0.85724626,0.42432897
-284.15636,0.99664509,0.62601142,2,7,0,284.57852,0.075956902,-1.042575,0.35254571
-285.59054,0.89731774,0.62601142,2,7,0,286.0312,0.30449013,-1.1856489,0.30554784
-284.83888,0.96548563,0.62601142,2,7,0,286.87056,-0.021195979,-1.036503,0.35469288
-285.33274,0.94742897,0.62601142,2,7,0,285.90112,0.24256314,-1.0054338,0.36588587
-287.24662,0.62708566,0.62601142,1,1,0,287.27601,0.30867628,-0.94166135,0.38997941
-288.10857,0.76076086,0.62601142,2,3,0,290.02925,-0.083045082,-1.2550778,0.28505368
-285.01475,0.9682465,0.62601142,2,5,0,288.47404,0.25909923,-1.1822948,0.30657441
-284.91359,0.92747095,0.62601142,2,3,0,285.45076,0.18363625,-1.2736728,0.27980209
-285.29326,0.79634132,0.62601142,2,3,0,286.14954,0.26841902,-1.0935398,0.33502845
-284.64698,0.89445208,0.62601142,2,3,0,286.43818,0.18140431,-0.98471314,0.37354637
-284.36715,1,0.62601142,2,3,0,284.62292,0.10950093,-1.1454721,0.31807371
-284.13512,0.98633072,0.62601142,2,3,0,284.66543,0.1094163,-1.0089506,0.3646014
-285.8929,0.78887509,0.62601142,2,3,0,286.05428,-0.018730127,-1.1827973,0.3064204
-286.00669,0.979597,0.62601142,2,3,0,286.69247,0.094231665,-0.70611146,0.4935597
-285.13608,1,0.62601142,2,3,0,285.8867,0.045094714,-0.74517019,0.47465351
-284.82315,0.71410528,0.62601142,2,3,0,287.94011,0.0121647,-1.1026734,0.33198237
-284.82939,0.99285606,0.62601142,3,7,0,285.48398,0.0095089322,-1.0988876,0.33324158
-284.26127,0.99652891,0.62601142,1,3,0,284.73359,0.036931805,-1.0160113,0.36203611
-284.2553,0.96141874,0.62601142,1,3,0,284.64214,0.11398748,-0.95554677,0.3846018
-284.1244,0.99962095,0.62601142,1,3,0,284.23734,0.088199394,-0.98607264,0.37303888
-284.39883,0.81462892,0.62601142,2,3,0,285.70057,-0.0026514003,-0.88979568,0.41073966
-284.24069,0.99533945,0.62601142,2,3,0,284.49019,0.044630525,-0.90905065,0.40290654
-284.82452,0.92279471,0.62601142,2,3,0,285.21267,-0.053895412,-0.8118804,0.44402234
-284.70379,0.98468181,0.62601142,2,3,0,285.03849,-0.04556693,-0.904345,0.40480695
-285.2388,0.85830599,0.62601142,2,7,0,286.85908,0.2790499,-1.1986998,0.30158609
-285.08045,0.74774125,0.62601142,2,3,0,288.28046,0.059518179,-1.208448,0.29866043
-285.63174,0.97945676,0.62601142,2,7,0,286.07761,0.024126329,-0.6805647,0.50633099
-284.70215,0.99929651,0.62601142,3,7,0,286.1901,-0.033256542,-0.96697048,0.38023322
-284.65817,0.90494456,0.62601142,2,7,0,285.48393,0.056128311,-0.81585202,0.44226235
-284.14345,0.99694922,0.62601142,2,3,0,284.69593,0.067647847,-0.9616849,0.38224829
-286.87098,0.9085172,0.62601142,3,7,0,287.54256,-0.16718677,-0.56883691,0.56618358
-287.27154,0.83254454,0.62601142,2,3,0,287.96512,-0.22612104,-0.72632437,0.48368357
-285.11949,1,0.62601142,2,3,0,287.03784,-0.03447001,-0.72390504,0.48485518
-284.628,0.97760119,0.62601142,3,7,0,286.37278,-0.017994266,-0.816065,0.44216817
-284.2446,0.98223951,0.62601142,2,5,0,285.35113,0.12954066,-1.1172798,0.32716854
-285.05297,0.91276447,0.62601142,1,3,0,286.31584,0.24974676,-1.2561106,0.28475941
-284.84775,0.91870662,0.62601142,2,7,0,285.97864,0.048811412,-1.1638106,0.31229388
-285.68371,0.83126802,0.62601142,1,1,0,285.71599,0.013008741,-1.2119544,0.29761504
-285.68371,0.60300708,0.62601142,1,1,0,287.60344,0.013008741,-1.2119544,0.29761504
-284.3635,1,0.62601142,2,3,0,285.37536,0.13432161,-0.9572425,0.38395017
-284.4876,0.99846945,0.62601142,2,7,0,284.49459,-0.005177547,-0.98699675,0.37269431
-284.36652,0.98757323,0.62601142,3,7,0,285.68491,0.068141823,-1.1036379,0.33166233
-284.48258,0.93717391,0.62601142,2,5,0,285.06596,-0.0016308451,-0.99637863,0.36921408
-284.40751,0.99971253,0.62601142,2,7,0,284.57573,0.020251732,-1.0300096,0.35700352
-284.41992,0.9039837,0.62601142,2,7,0,285.46713,0.1523502,-0.97638326,0.37667096
-285.10875,0.93999964,0.62601142,2,7,0,287.11053,0.26774464,-1.1888107,0.3045833
-284.1445,0.99649106,0.62601142,2,7,0,285.3148,0.11987022,-1.0304592,0.35684305
-285.04138,0.89884363,0.62601142,2,7,0,285.13966,0.12655093,-1.2685216,0.28124712
-285.55978,0.94954707,0.62601142,2,7,0,286.19108,0.036779424,-1.2328615,0.29145738
-284.23492,1,0.62601142,2,3,0,285.34319,0.10411759,-0.94845749,0.38733803
-284.1968,0.9754362,0.62601142,1,3,0,284.44092,0.053676895,-1.02363,0.35928835
-284.81712,0.82126432,0.62601142,2,3,0,285.64049,0.18526052,-0.95992162,0.3829229
-284.70831,0.99583817,0.62601142,2,3,0,284.94736,0.047081108,-1.1402444,0.31974087
-287.76499,0.62757981,0.62601142,2,3,0,289.52283,0.019349529,-1.38707,0.24980617
-286.29813,1,0.62601142,1,1,0,287.67165,0.033245074,-1.2965396,0.27347648
-285.41554,0.99110067,0.62601142,2,7,0,286.48005,0.11292904,-1.3010183,0.27225441
-285.93619,0.94898522,0.62601142,2,3,0,286.31871,0.24342489,-0.92943764,0.39477565
-285.95458,1,0.62601142,2,3,0,286.40757,0.077599723,-1.3192257,0.26734222
-287.07686,0.91973751,0.62601142,3,7,0,289.25932,-0.21066542,-0.63305801,0.53096562
-284.4735,0.99790901,0.62601142,2,7,0,287.47872,0.19341332,-1.0812823,0.33916035
-284.52222,1,0.62601142,2,3,0,284.65431,0.201151,-1.153639,0.31548664
-285.37266,0.8631252,0.62601142,2,7,0,286.90089,-0.094245776,-0.93041804,0.3943888
-284.93427,0.96243615,0.62601142,3,7,0,287.38859,0.09961967,-1.2330314,0.29140787
-285.20203,0.97821537,0.62601142,2,7,0,285.78148,0.028229117,-0.72727898,0.48322206
-284.47506,0.99686335,0.62601142,2,7,0,285.89718,0.10477009,-1.1651706,0.31186945
-284.37021,0.93427196,0.62601142,1,3,0,285.17297,0.1487464,-0.98285195,0.37424226
-284.51796,0.98764755,0.62601142,2,7,0,284.8483,0.19649781,-1.1674084,0.31117234
-284.86042,0.98337069,0.62601142,2,3,0,284.8956,0.20583882,-1.2593632,0.28383473
-284.14474,0.99900551,0.62601142,2,7,0,284.95334,0.121147,-1.0399289,0.35347981
-284.91976,0.83204006,0.62601142,1,3,0,285.24224,0.14766154,-0.87933676,0.4150581
-284.17881,0.99942125,0.62601142,1,3,0,284.80271,0.088358919,-0.95174603,0.38606635
-284.33953,0.95882622,0.62601142,2,3,0,284.58038,0.0061937165,-0.94752086,0.387701
-284.34811,0.94756102,0.62601142,2,5,0,284.8502,0.071738679,-1.1038307,0.33159838
-284.23478,0.97772359,0.62601142,2,5,0,284.63752,0.03009436,-0.97517069,0.37712798
-284.51905,0.87750658,0.62601142,2,3,0,284.88924,0.11122868,-0.89066525,0.41038265
-284.57143,0.9926739,0.62601142,2,7,0,285.25977,0.18530708,-1.2025566,0.30042516
-284.57121,0.92197611,0.62601142,3,7,0,285.2138,-0.030865542,-0.89032292,0.41052317
-286.63492,0.85687028,0.62601142,2,3,0,286.70252,-0.02566321,-0.57029467,0.56535882
-285.74355,1,0.62601142,1,1,0,286.50278,-0.028702552,-0.64705415,0.52358591
-285.91706,0.98980281,0.62601142,1,1,0,286.05939,-0.041691243,-0.62694869,0.53421939
-285.68886,0.87823212,0.62601142,2,7,0,287.98147,0.18042948,-1.3714876,0.25372922
-285.20356,0.9833543,0.62601142,2,3,0,286.25132,0.26904599,-1.1254313,0.32451247
-284.72215,0.99993549,0.62601142,2,7,0,285.44777,-0.026087138,-0.99658171,0.36913911
-284.67762,0.89003391,0.62601142,3,7,0,286.79224,0.061425589,-1.1547339,0.31514139
-285.48424,0.94371933,0.62601142,2,3,0,285.57201,0.0054186912,-1.1790235,0.30757896
-284.75814,0.98953084,0.62601142,2,5,0,285.89515,-0.019092884,-1.0245263,0.35896648
-285.90629,0.9302552,0.62601142,2,3,0,285.98513,-0.089084771,-1.0408829,0.35314275
-285.835,0.99543121,0.62601142,2,3,0,286.05755,0.11440368,-0.7419244,0.47619664
-284.5664,1,0.62601142,2,7,0,285.66167,0.040524313,-1.1055899,0.33101557
-285.28494,0.85163484,0.62601142,1,1,0,285.29479,0.012454351,-1.1671,0.3112683
-284.75795,0.98907314,0.62601142,2,7,0,285.58847,0.043064945,-0.79263853,0.45264889
-284.7695,1,0.62601142,1,1,0,284.86513,0.038052391,-0.78823372,0.45464712
-284.66185,0.99722639,0.62601142,2,3,0,285.01426,-0.0319864,-0.95682913,0.38410892
-284.73476,0.9863016,0.62601142,1,1,0,284.80165,-0.038632627,-0.95807327,0.38363133
-284.60182,0.99257977,0.62601142,3,7,0,285.52235,-0.0079503898,-0.81531453,0.44250012
