# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 08:18:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-202604291618-2-8b0074.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-profile-202604291618-2-39150d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.614495
# Diagonal elements of inverse mass matrix:
# 0.0161608, 0.0429089
-284.99049,0.92331082,0.61449541,2,3,0,286.73645,-0.073169136,-0.89644937,0.4080158
-284.68458,0.98495034,0.61449541,2,7,0,285.8213,0.19125373,-0.99948407,0.36806929
-284.32736,0.96561545,0.61449541,2,5,0,285.32067,0.028763091,-0.87961928,0.41494086
-284.28464,0.99914025,0.61449541,2,3,0,284.35543,0.048760037,-0.89210295,0.40979307
-285.07091,0.49330667,0.61449541,2,5,0,288.60605,0.17144363,-1.2950345,0.27388841
-285.71812,0.86155069,0.61449541,1,1,0,285.7664,0.13343274,-1.3476474,0.25985087
-284.18805,1,0.61449541,2,3,0,285.59299,0.13824622,-1.064504,0.34489888
-284.12125,0.99580955,0.61449541,3,7,0,284.32861,0.089238483,-1.0318456,0.35634868
-284.46284,0.92224374,0.61449541,3,7,0,286.13212,0.12042522,-1.1737049,0.30921918
-284.51789,0.89579256,0.61449541,1,3,0,285.47277,0.15698704,-0.96192878,0.38215508
-284.65805,0.96317691,0.61449541,1,1,0,284.73524,0.1596702,-0.93902716,0.39100804
-284.88101,0.98704637,0.61449541,3,7,0,285.17558,0.081312196,-0.8047359,0.44720602
-285.79326,0.99231926,0.61449541,3,7,0,285.91948,-0.13706092,-0.84216058,0.43077879
-285.15079,1,0.61449541,1,1,0,285.67689,-0.091668922,-0.82492155,0.43826937
-285.71408,0.97961649,0.61449541,3,7,0,286.45037,-0.068591031,-0.64968374,0.5222109
-284.69696,0.99980904,0.61449541,2,7,0,285.77297,-0.040674565,-0.93260831,0.39352593
-286.22953,0.79153398,0.61449541,2,7,0,288.17061,0.3423902,-1.3423113,0.26124116
-285.30359,1,0.61449541,2,3,0,286.28164,0.23470623,-1.3256354,0.26563413
-284.46847,0.9842832,0.61449541,2,5,0,285.78302,0.15500344,-0.96945277,0.37929054
-284.77508,0.73991627,0.61449541,2,3,0,285.85352,0.028125068,-1.1221066,0.32559318
-284.41534,1,0.61449541,1,1,0,284.71517,0.057440252,-1.1001228,0.33283022
-284.31784,0.98792122,0.61449541,2,7,0,285.36908,0.0095757308,-0.92042084,0.39835136
-284.48715,0.97587272,0.61449541,3,7,0,284.53559,-0.0081412206,-0.97652968,0.37661581
-284.19074,1,0.61449541,3,7,0,284.45377,0.11772746,-0.98705219,0.37267364
-285.99404,0.91928362,0.61449541,2,5,0,286.69824,0.282492,-1.4010206,0.24634541
-285.82628,1,0.61449541,1,1,0,286.03701,0.29116281,-1.3666179,0.25496783
-286.19543,0.97922826,0.61449541,1,1,0,286.20237,0.31382172,-1.4008027,0.24639911
-285.58352,0.95594431,0.61449541,2,3,0,286.76728,0.30201671,-1.168748,0.31075575
-286.01259,0.91719136,0.61449541,2,3,0,287.06435,0.18934982,-1.4073724,0.24478565
-285.5062,1,0.61449541,1,1,0,285.96534,0.21957275,-1.3582277,0.25711606
-285.53086,1,0.61449541,2,3,0,285.78267,0.27713047,-1.328696,0.26482237
