# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 08:18:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-202604291618-1-541368.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-profile-202604291618-1-63bfea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.598441
# Diagonal elements of inverse mass matrix:
# 0.245287, 0.684735, 0.00106552
-1559.3354,0.91621082,0.59844071,2,3,0,1560.3057,64.05369,-9.7854102,8.0595657,-9.7854102
-1559.5272,0.97481682,0.59844071,2,3,0,1559.9841,64.06056,-9.755295,7.9999521,-9.755295
-1559.4937,0.93180476,0.59844071,3,7,0,1561.0299,62.947822,-7.6979095,8.6798967,-7.6979095
-1558.9602,0.96547831,0.59844071,3,7,0,1560.3233,63.649272,-9.7298104,8.0442545,-9.7298104
-1558.424,0.97643122,0.59844071,2,3,0,1559.225,63.835072,-9.3461239,8.1680729,-9.3461239
-1558.8454,0.93827734,0.59844071,3,7,0,1559.1241,62.986595,-7.6260471,8.4129245,-7.6260471
-1559.0707,0.99154542,0.59844071,3,15,0,1559.8674,63.421626,-9.5825769,8.5724702,-9.5825769
-1558.4068,0.99770987,0.59844071,3,7,0,1559.9953,63.451037,-9.3000756,8.0399132,-9.3000756
-1558.2532,1,0.59844071,1,1,0,1558.3937,63.486675,-9.1792504,8.0483701,-9.1792504
-1557.8398,0.94472873,0.59844071,2,7,0,1559.3432,63.387954,-8.6145879,8.2593243,-8.6145879
-1559.8283,0.7048579,0.59844071,2,3,0,1560.9112,63.907412,-8.4213298,8.1168946,-8.4213298
-1558.086,1,0.59844071,3,7,0,1559.7938,63.450322,-8.5713336,8.1188537,-8.5713336
-1558.2605,0.99168648,0.59844071,3,7,0,1558.3725,63.394945,-9.3374551,8.3996485,-9.3374551
-1558.5444,0.92245863,0.59844071,2,3,0,1560.0686,63.915916,-9.3438817,8.2233231,-9.3438817
-1558.9025,0.99413599,0.59844071,2,3,0,1559.0494,63.908181,-9.7560407,8.1239425,-9.7560407
-1559.3895,0.70391852,0.59844071,2,3,0,1560.6746,63.396832,-9.9046354,8.2469444,-9.9046354
-1560.6107,0.92871691,0.59844071,3,7,0,1563.2829,62.838816,-6.9400328,8.174906,-6.9400328
-1558.5491,1,0.59844071,2,3,0,1560.3082,62.660237,-8.2567191,8.1859989,-8.2567191
-1558.4701,0.93084207,0.59844071,3,7,0,1559.444,62.961514,-8.5762883,8.0031428,-8.5762883
-1561.8963,0.68559613,0.59844071,3,7,0,1562.4085,63.587772,-7.8964518,7.732242,-7.8964518
-1558.7442,0.83326378,0.59844071,3,7,0,1563.8875,62.997297,-9.1556714,8.146567,-9.1556714
-1558.0455,0.93977557,0.59844071,2,3,0,1559.306,62.95667,-8.3910015,8.145655,-8.3910015
-1558.2763,0.95165197,0.59844071,3,7,0,1558.6246,63.571208,-9.3530713,8.433164,-9.3530713
-1557.9129,0.99803143,0.59844071,2,7,0,1558.5056,63.248262,-8.6137532,8.4173935,-8.6137532
-1558.7617,0.88010025,0.59844071,2,3,0,1559.2027,63.028288,-8.8990307,8.5961497,-8.8990307
-1560.8934,0.83922157,0.59844071,3,7,0,1563.0537,62.003156,-7.1458251,8.4566768,-7.1458251
-1557.9174,0.97920066,0.59844071,3,7,0,1562.207,63.50586,-8.7309185,8.268222,-8.7309185
-1559.4487,0.91802364,0.59844071,2,3,0,1559.7298,62.898303,-8.3790625,7.8214466,-8.3790625
-1559.0233,0.97214149,0.59844071,2,3,0,1560.089,63.394015,-8.2856693,7.9185344,-8.2856693
-1559.9244,0.84530347,0.59844071,2,7,0,1561.1507,63.384521,-10.058844,8.2324663,-10.058844
-1559.9329,0.99635473,0.59844071,3,15,0,1561.0553,62.405917,-8.6002803,8.275136,-8.6002803
-1557.8948,1,0.59844071,2,3,0,1559.732,63.202519,-8.3254679,8.2800797,-8.3254679
-1557.9385,0.95625459,0.59844071,2,5,0,1558.2918,63.405449,-9.1552934,8.2747447,-9.1552934
-1561.6949,0.69871381,0.59844071,3,7,0,1563.1413,64.678535,-10.468674,8.4426914,-10.468674
-1558.7646,0.85137204,0.59844071,2,3,0,1563.0584,63.847348,-9.7887697,8.3354421,-9.7887697
-1559.489,0.90773396,0.59844071,2,7,0,1561.1581,62.574475,-7.3909777,8.5347313,-7.3909777
-1558.2701,0.99284674,0.59844071,3,7,0,1560.051,63.188699,-8.8204952,8.5347251,-8.8204952
-1559.0011,0.97041932,0.59844071,2,3,0,1559.1143,63.511149,-8.8160517,8.6982893,-8.8160517
-1558.7872,0.97351817,0.59844071,3,7,0,1560.988,62.551156,-7.7471354,8.30801,-7.7471354
-1558.7637,0.99216872,0.59844071,2,3,0,1559.0654,62.681665,-7.6188246,8.2119323,-7.6188246
-1559.1081,0.96215629,0.59844071,3,7,0,1559.8989,62.996655,-8.551655,8.7205192,-8.551655
-1558.7075,1,0.59844071,2,3,0,1559.2934,62.915539,-8.6389917,8.5894254,-8.6389917
-1559.3194,0.97725156,0.59844071,3,7,0,1560.3939,63.851863,-9.9464014,8.0572039,-9.9464014
-1558.5538,0.99785192,0.59844071,3,7,0,1559.8637,63.868113,-9.1960919,8.1325161,-9.1960919
-1558.0445,0.97267455,0.59844071,2,7,0,1558.9947,62.998644,-8.6991369,8.3560199,-8.6991369
-1557.9287,0.96897495,0.59844071,2,7,0,1558.5043,63.282121,-9.0573272,8.2811636,-9.0573272
-1558.4002,0.90944497,0.59844071,2,7,0,1559.6608,63.848588,-9.1717694,8.3026303,-9.1717694
-1559.6155,0.73829428,0.59844071,2,7,0,1561.9804,62.664012,-8.0297563,8.7331138,-8.0297563
-1559.6866,0.9690477,0.59844071,2,7,0,1560.3128,63.00814,-7.9158137,8.7751797,-7.9158137
-1558.0373,0.93243733,0.59844071,3,7,0,1560.8435,63.613536,-8.8407635,8.232904,-8.8407635
-1558.8614,0.89200384,0.59844071,2,7,0,1559.9365,63.693009,-8.5458891,8.5053984,-8.5458891
-1558.3587,0.93399517,0.59844071,2,7,0,1560.1201,63.472304,-8.7873005,7.98877,-8.7873005
-1558.13,0.98343588,0.59844071,2,7,0,1558.8022,62.920701,-8.5952504,8.1774135,-8.5952504
-1557.9435,0.94785393,0.59844071,2,7,0,1559.4555,63.248953,-8.5546726,8.4261253,-8.5546726
-1558.9805,0.91655234,0.59844071,2,7,0,1559.9151,63.265713,-8.7545174,8.719167,-8.7545174
-1558.6873,0.954699,0.59844071,3,7,0,1560.1506,63.904709,-8.9705125,8.3121531,-8.9705125
-1558.9023,0.72459886,0.59844071,2,3,0,1561.6237,63.387204,-9.6323878,8.1020129,-9.6323878
-1559.7703,0.78171224,0.59844071,1,1,0,1559.9443,63.250305,-9.8511274,8.150164,-9.8511274
-1558.5664,0.99369395,0.59844071,2,7,0,1559.8859,63.531388,-8.5813634,7.9969855,-8.5813634
-1560.1297,0.80204104,0.59844071,2,7,0,1560.7346,62.62604,-8.9819688,8.0491399,-8.9819688
-1560.4417,0.98666217,0.59844071,2,7,0,1561.3526,64.051239,-8.5163455,8.0800764,-8.5163455
-1558.3255,0.83837079,0.59844071,2,3,0,1562.223,63.651307,-8.6669223,8.3741953,-8.6669223
-1560.133,0.54278948,0.59844071,1,3,0,1562.0974,63.031078,-9.7447081,8.3776201,-9.7447081
-1559.2105,1,0.59844071,1,1,0,1560.126,63.043775,-9.4445292,8.397158,-9.4445292
-1558.3918,1,0.59844071,2,3,0,1559.1822,63.257825,-9.2104476,8.4731724,-9.2104476
-1559.6226,0.93372099,0.59844071,2,7,0,1559.6826,63.627008,-8.4306328,8.7082318,-8.4306328
-1558.778,0.94359322,0.59844071,3,7,0,1562.6431,63.520345,-8.1444862,8.2072887,-8.1444862
-1557.951,0.97563046,0.59844071,2,3,0,1559.3085,63.032683,-8.4340495,8.1545875,-8.4340495
-1558.1148,0.97711284,0.59844071,3,7,0,1558.251,63.597515,-8.8828815,8.4080134,-8.8828815
-1558.4371,0.94405054,0.59844071,2,7,0,1559.4952,62.981729,-7.8657327,8.4200399,-7.8657327
-1560.4143,0.85538507,0.59844071,2,3,0,1560.5884,62.242387,-8.372229,8.2318047,-8.372229
-1560.0721,0.99589011,0.59844071,3,15,0,1561.4632,63.222074,-7.6827425,7.8992452,-7.6827425
-1560.668,0.96471488,0.59844071,3,7,0,1561.9372,62.134607,-8.169484,8.2409634,-8.169484
-1558.0605,1,0.59844071,3,7,0,1560.8447,63.464367,-9.1311567,8.4189661,-9.1311567
-1562.0195,0.84399572,0.59844071,2,7,0,1563.3196,64.63405,-10.740075,8.1440018,-10.740075
-1560.0949,0.49929879,0.59844071,2,5,0,1568.8573,62.345525,-7.3503494,8.6066321,-7.3503494
-1560.9205,0.84950098,0.59844071,2,7,0,1567.2881,63.49302,-9.5358567,7.6765504,-9.5358567
