# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 08:18:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-202604291618-2-541368.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-profile-202604291618-2-63bfea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.563351
# Diagonal elements of inverse mass matrix:
# 0.313469, 0.635376, 0.001153
-1560.337,0.97809964,0.56335139,2,7,0,1562.4912,62.723702,-9.0227657,8.7128638,-9.0227657
-1559.2907,0.97815894,0.56335139,2,7,0,1561.5818,63.544559,-8.0651259,8.0772669,-8.0651259
-1558.8603,0.99702921,0.56335139,2,7,0,1559.7313,63.251559,-9.2264987,7.9522144,-9.2264987
-1558.1387,1,0.56335139,2,7,0,1559.175,63.143511,-8.8405706,8.0736444,-8.8405706
-1557.9916,0.99805738,0.56335139,3,7,0,1558.2898,63.550906,-8.7554271,8.3198249,-8.7554271
-1559.0262,0.93511934,0.56335139,2,3,0,1559.5516,63.783899,-9.4201255,7.9422153,-9.4201255
-1558.9484,0.96238605,0.56335139,3,7,0,1559.9006,63.48422,-8.4677119,8.6439328,-8.4677119
-1558.1301,0.94870671,0.56335139,3,7,0,1559.4341,63.156057,-8.238103,8.1015577,-8.238103
-1558.8911,0.8820144,0.56335139,2,3,0,1559.8042,62.689349,-7.9549831,8.0185317,-7.9549831
-1558.8669,0.99835982,0.56335139,3,7,0,1559.3304,63.669484,-9.2985434,8.6200752,-9.2985434
-1559.4356,0.91288978,0.56335139,3,7,0,1560.5056,62.499148,-8.3468777,8.0709943,-8.3468777
-1558.8492,0.9344907,0.56335139,3,15,0,1560.7745,63.729701,-9.8705096,8.2914755,-9.8705096
-1560.9233,0.85864985,0.56335139,2,3,0,1561.5912,64.123135,-9.5035524,8.841338,-9.5035524
