# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:18:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-202604291618-4-55e6ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-profile-202604291618-4-21e7f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.550665
# Diagonal elements of inverse mass matrix:
# 0.00497654, 0.0141734, 0.0494589, 0.0797151, 0.116376, 0.61808, 0.0121066
-848.89446,0.97069911,0.55066524,3,7,0,854.06384,-1.7129729,-1.4654604,-1.6889283,-1.189782,-1.0318731,-1.1304673,-0.70974152,0.49177129
-850.21728,0.97317773,0.55066524,3,7,0,850.94044,-1.7102219,-1.4996204,-1.8093055,-1.8281379,-0.80458453,-2.3936776,-0.76406484,0.4657693
-851.99753,0.88644635,0.55066524,3,7,0,853.38882,-1.6201916,-1.5585324,-1.6562531,-1.6928505,-0.94328822,-1.4831447,-0.61037906,0.54314494
-852.83765,0.97310759,0.55066524,3,7,0,855.82376,-1.6357247,-1.3293888,-2.2109329,-1.5664463,-0.62179785,-2.143898,-0.95168509,0.38608988
-850.5591,1,0.55066524,3,7,0,854.30303,-1.6905729,-1.4574736,-1.4955595,-1.0606384,-0.88174511,-2.6984084,-0.7320761,0.48090954
-850.75526,1,0.55066524,3,7,0,852.10016,-1.5957883,-1.3046729,-1.9156872,-1.3271345,-0.83612632,-0.20783271,-0.97027947,0.37897711
-850.51508,0.5873021,0.55066524,2,3,0,855.9071,-1.6401449,-1.196398,-1.579715,-1.0860051,-0.69234271,-0.29123766,-0.87471838,0.41697943
-850.35022,0.99438577,0.55066524,3,7,0,853.16982,-1.7328574,-1.521286,-1.5611984,-1.3258206,-0.79228112,-2.3516986,-0.88537639,0.41255886
-849.00084,0.96672046,0.55066524,2,3,0,851.07578,-1.731254,-1.5058546,-1.6429675,-1.2534292,-0.74114998,-2.0019766,-0.8264132,0.43761612
-848.54412,0.98582188,0.55066524,2,7,0,850.38116,-1.6479943,-1.3515214,-1.6319551,-1.1157054,-0.45512546,-0.72708769,-0.85666435,0.42457596
-850.19508,0.8031591,0.55066524,2,7,0,851.95957,-1.7208564,-1.4830518,-1.8196678,-1.4861899,-0.9939878,-0.83742053,-0.89151936,0.41003229
-850.02184,0.92167267,0.55066524,2,3,0,852.35461,-1.7130319,-1.5508861,-1.8731895,-1.4471328,-0.71067539,-0.72461751,-0.83262784,0.43490492
-848.95396,0.9980182,0.55066524,3,7,0,851.49137,-1.6359498,-1.3343178,-1.4546066,-1.0318791,-0.8864348,-1.9358053,-0.83884622,0.43220891
-850.61296,0.56413179,0.55066524,3,7,0,857.88545,-1.6198388,-1.5154135,-1.5193934,-1.6033627,-0.9947192,-0.77607779,-0.70995297,0.49166732
-849.667,1,0.55066524,3,7,0,851.64048,-1.6928921,-1.2645798,-1.866209,-1.049552,-0.60055287,-2.0888044,-0.87529387,0.41673953
-849.94864,0.92898178,0.55066524,3,7,0,854.22359,-1.6698695,-1.4344111,-1.4447805,-1.5385912,-1.2529547,-2.0623646,-0.76295333,0.46628729
-848.65818,0.7236661,0.55066524,2,7,0,856.8867,-1.6316615,-1.3251371,-1.824682,-1.323639,-1.1005555,-1.4842245,-0.78730163,0.45507109
-851.48805,0.81411487,0.55066524,2,3,0,852.41341,-1.5238535,-1.4419869,-2.0185284,-1.3380223,-0.97867703,-1.6164379,-0.78852626,0.45451414
-853.22184,0.95670892,0.55066524,3,7,0,856.23228,-1.7294899,-1.1565128,-1.8757418,-0.86157967,-0.43735825,-1.4265055,-1.0110888,0.36382262
-850.71604,0.99525105,0.55066524,3,7,0,854.00262,-1.5193643,-1.4118976,-1.3216368,-1.3982716,-0.76141059,-1.2709502,-0.89139948,0.41008145
-852.7407,0.90257865,0.55066524,3,7,0,855.06244,-1.8192758,-1.4760208,-2.0640313,-1.1835438,-0.80020392,-2.4776201,-0.79679372,0.45077195
-852.50006,0.9123517,0.55066524,3,7,0,858.97757,-1.6857332,-1.5342108,-1.2663843,-1.4719803,-0.3662389,-2.179171,-0.80289488,0.44803009
-850.37614,1,0.55066524,3,7,0,854.4746,-1.7708582,-1.548256,-1.5963589,-1.5365774,-0.74161781,-1.2083943,-0.81964974,0.44058595
-851.72109,0.97425415,0.55066524,3,7,0,853.75081,-1.5904156,-1.2759732,-1.6887279,-1.7233991,-0.92448058,-2.9194528,-0.77635826,0.46007845
-854.04564,0.83928396,0.55066524,3,7,0,857.5828,-1.7174797,-1.2992817,-1.2581242,-1.691856,-1.0465785,-1.9753743,-1.0191284,0.36090937
-851.74443,0.98720964,0.55066524,3,7,0,856.40982,-1.5877437,-1.5239938,-1.9098189,-0.90259331,-0.53354976,-0.87882522,-0.78637292,0.45549392
-851.55092,0.95825497,0.55066524,3,7,0,855.10612,-1.7145435,-1.384212,-1.4537474,-1.8725665,-1.2657147,-2.1161251,-0.75499247,0.47001415
-852.88643,0.76034617,0.55066524,3,7,0,858.04518,-1.7075747,-1.5241063,-1.8264869,-1.5409591,-0.81651949,-4.2969883,-0.65559877,0.51913113
-850.92675,0.90138901,0.55066524,3,7,0,855.89788,-1.6871544,-1.4921668,-1.6653851,-1.8625967,-0.91521802,-0.35297535,-0.7906686,0.45354145
-852.3209,0.7514637,0.55066524,3,7,0,854.77468,-1.6391047,-1.3265503,-1.8107694,-0.89477807,-0.72372118,-4.0553444,-0.89643821,0.40802036
-849.50691,0.93966116,0.55066524,3,7,0,853.98335,-1.6792146,-1.3836178,-1.7309848,-1.2078282,-1.0826862,-2.7574104,-0.87835854,0.41546432
-848.21894,0.8878659,0.55066524,3,7,0,851.68775,-1.6144194,-1.3417735,-1.5489922,-1.5395279,-0.64809923,-1.2338876,-0.89893921,0.40700117
-849.18566,0.74008416,0.55066524,3,7,0,851.81788,-1.6511603,-1.4821243,-1.590537,-1.1961779,-0.91068992,-2.4266445,-0.75203092,0.47140819
-851.35708,0.81000396,0.55066524,3,7,0,853.69486,-1.5772559,-1.4756852,-1.5247964,-1.9605483,-0.71679317,-1.1483812,-0.8743484,0.41713373
-856.88078,0.42838688,0.55066524,2,3,0,859.33887,-1.5446905,-1.2510737,-1.5473436,-1.8410134,-0.28701411,-1.3867543,-0.71356436,0.48989492
